DataName, VB, IT, IB, IC, VT, beta, Rpt100
DataValue,0.5,0.001,6.51696e-10,3.34072e-07,0.112253,512.619380815595,112.253
DataValue,0.501,0.001,6.71512e-10,3.47191e-07,0.1122505,517.028735152909,112.2505
DataValue,0.502,0.001,6.94072e-10,3.601e-07,0.1122515,518.822254751668,112.2515
DataValue,0.503,0.001,7.165140000000001e-10,3.74015e-07,0.112252,521.9925919102769,112.252
DataValue,0.504,0.001,7.4305e-10,3.88816e-07,0.1122509999999999,523.270304824709,112.251
DataValue,0.505,0.001,7.66231e-10,4.03704e-07,0.112255,526.869834292792,112.255
DataValue,0.506,0.001,7.91219e-10,4.18961e-07,0.1122485,529.513320585072,112.2485
DataValue,0.507,0.001,8.1968e-10,4.35884e-07,0.112249,531.7733749756,112.249
DataValue,0.508,0.001,8.47814e-10,4.5265899999999995e-07,0.112256,533.9130988636659,112.256
DataValue,0.509,0.001,8.749650000000001e-10,4.69946e-07,0.1122545,537.102626962221,112.2545
DataValue,0.51,0.001,9.04963e-10,4.88807e-07,0.11225,540.140315128906,112.25
DataValue,0.511,0.001,9.35652e-10,5.07015e-07,0.1122535,541.884162060253,112.2535
DataValue,0.512,0.001,9.67062e-10,5.26374e-07,0.112254,544.302226744511,112.254
DataValue,0.513,0.001,1.00122e-09,5.47925e-07,0.11225,547.2573460378339,112.25
DataValue,0.514,0.001,1.03444e-09,5.688109999999999e-07,0.11225,549.873361432273,112.25
DataValue,0.515,0.001,1.0697300000000002e-09,5.89517e-07,0.1122505,551.089527263889,112.2505
DataValue,0.516,0.001,1.10838e-09,6.13835e-07,0.112253,553.812771793067,112.253
DataValue,0.517,0.001,1.14456e-09,6.37263e-07,0.112249,556.775529461103,112.249
DataValue,0.518,0.001,1.1821100000000002e-09,6.61202e-07,0.112253,559.340501306985,112.253
DataValue,0.519,0.001,1.22523e-09,6.88008e-07,0.1122525,561.533752846404,112.2525
DataValue,0.52,0.001,1.26669e-09,7.13941e-07,0.112252,563.6272489717289,112.252
DataValue,0.521,0.001,1.3085e-09,7.41165e-07,0.112248,566.4233855559801,112.248
DataValue,0.522,0.001,1.35529e-09,7.71034e-07,0.1122505,568.907023589047,112.2505
DataValue,0.523,0.001,1.40178e-09,8.00041e-07,0.1122535,570.73221190201,112.2535
DataValue,0.524,0.001,1.45015e-09,8.30762e-07,0.1122525,572.880046891701,112.2525
DataValue,0.525,0.001,1.50193e-09,8.64588e-07,0.112248,575.651328623837,112.248
DataValue,0.526,0.001,1.55215e-09,8.96858e-07,0.1122485,577.816577006088,112.2485
DataValue,0.527,0.001,1.60549e-09,9.30673e-07,0.112253,579.681592535612,112.253
DataValue,0.528,0.001,1.66498e-09,9.69015e-07,0.112253,581.997981957741,112.253
DataValue,0.529,0.001,1.72009e-09,1.00579e-06,0.1122509999999999,584.731031515793,112.251
DataValue,0.53,0.001,1.77883e-09,1.0435669999999998e-06,0.1122505,586.659208580921,112.2505
DataValue,0.531,0.001,1.8458299999999998e-09,1.08695e-06,0.112248,588.867880574051,112.248
DataValue,0.532,0.001,1.90701e-09,1.12755e-06,0.112243,591.265908411597,112.243
DataValue,0.533,0.001,1.97296e-09,1.17015e-06,0.1122475,593.093625821101,112.2475
DataValue,0.534,0.001,2.0464600000000004e-09,1.21741e-06,0.112249,594.885802800934,112.249
DataValue,0.535,0.001,2.11658e-09,1.26439e-06,0.112245,597.374065709777,112.245
DataValue,0.536,0.001,2.18803e-09,1.31159e-06,0.1122465,599.43876455076,112.2465
DataValue,0.537,0.001,2.26372e-09,1.36168e-06,0.1122475,601.523156574134,112.2475
DataValue,0.538,0.001,2.34862e-09,1.41594e-06,0.1122505,602.8816922277759,112.2505
DataValue,0.539,0.001,2.4286500000000003e-09,1.47017e-06,0.1122465,605.344532970992,112.2465
DataValue,0.54,0.001,2.51069e-09,1.52608e-06,0.1122445,607.8329064918411,112.2445
DataValue,0.541,0.001,2.6041e-09,1.58755e-06,0.112244,609.63480665105,112.244
DataValue,0.542,0.001,2.69511e-09,1.6473899999999998e-06,0.1122465,611.251488807507,112.2465
DataValue,0.543,0.001,2.78736e-09,1.7104699999999998e-06,0.112249,613.652344871132,112.249
DataValue,0.544,0.001,2.89066e-09,1.77879e-06,0.1122465,615.357738371168,112.2465
DataValue,0.545,0.001,2.99043e-09,1.84605e-06,0.1122435,617.319248402404,112.2435
DataValue,0.546,0.001,3.09509e-09,1.91562e-06,0.1122505,618.9222284327759,112.2505
DataValue,0.547,0.001,3.21197e-09,1.99412e-06,0.112247,620.840169740066,112.247
DataValue,0.548,0.001,3.32175e-09,2.0700599999999996e-06,0.1122435,623.183562881011,112.2435
DataValue,0.549,0.001,3.43682e-09,2.1464099999999997e-06,0.1122435,624.533725944332,112.2435
DataValue,0.55,0.001,3.56716e-09,2.2348e-06,0.112245,626.492784175647,112.245
DataValue,0.551,0.001,3.69169e-09,2.31929e-06,0.1122495,628.24614201084,112.2495
DataValue,0.5519999999999999,0.001,3.818480000000001e-09,2.40611e-06,0.112248,630.12245710335,112.248
DataValue,0.553,0.001,3.96335e-09,2.50396e-06,0.1122445,631.77867208296,112.2445
DataValue,0.554,0.001,4.10225e-09,2.59896e-06,0.1122475,633.545005789506,112.2475
DataValue,0.555,0.001,4.246590000000001e-09,2.6971199999999997e-06,0.11225,635.126065855192,112.25
DataValue,0.5559999999999999,0.001,4.40661e-09,2.8064699999999997e-06,0.112245,636.877327469415,112.245
