DataName, VB, IT, IB, IC, VT, beta, Rpt100
DataValue,0.48,0.001,2.78993e-10,4.826e-08,0.1115545,172.979250375457,111.5545
DataValue,0.4821,0.001,2.98528e-10,1.2045999999999998e-07,0.1115555,403.513238289206,111.5555
DataValue,0.4841999999999999,0.001,3.19249e-10,1.1075e-07,0.111558,346.907899476584,111.558
DataValue,0.4863,0.001,3.4240100000000004e-10,7.399e-08,0.111557,216.09165861081,111.557
DataValue,0.4884,0.001,3.6727e-10,6.602e-08,0.1115545,179.758760584856,111.5545
DataValue,0.4905,0.001,3.92685e-10,1.5205e-07,0.111556,387.206030278722,111.556
DataValue,0.4926,0.001,4.205669999999999e-10,1.4218e-07,0.1115545,338.067418508823,111.5545
DataValue,0.4947,0.001,4.50664e-10,1.1508e-07,0.1115515,255.356540571246,111.5515
DataValue,0.4968,0.001,4.822650000000001e-10,7.953e-08,0.1115505,164.909334079811,111.5505
DataValue,0.4989,0.001,5.16487e-10,1.9993e-07,0.11155,387.09589979999504,111.55
DataValue,0.501,0.001,5.52878e-10,2.8295e-07,0.111553,511.776558300384,111.553
DataValue,0.5031,0.001,5.931510000000001e-10,2.0011e-07,0.111555,337.367719181119,111.555
DataValue,0.5052,0.001,6.353939999999998e-10,3.0216e-07,0.111552,475.547455594482,111.552
DataValue,0.5073,0.001,6.823450000000001e-10,3.043e-07,0.111553,445.9620866277321,111.553
DataValue,0.5094,0.001,7.32508e-10,3.2498e-07,0.1115575,443.653857705308,111.5575
DataValue,0.5115,0.001,7.86981e-10,3.8658e-07,0.111555,491.218974791005,111.555
DataValue,0.5136,0.001,8.4475e-10,3.7905e-07,0.1115495,448.712636874815,111.5495
DataValue,0.5157,0.001,9.07867e-10,4.0582e-07,0.111557,447.003801217579,111.557
DataValue,0.5178,0.001,9.74336e-10,5.3107e-07,0.111555,545.058378218602,111.555
DataValue,0.5199,0.001,1.0467800000000002e-09,5.131199999999999e-07,0.111554,490.188960431036,111.554
DataValue,0.522,0.001,1.12553e-09,6.111299999999999e-07,0.1115565,542.9708670581861,111.5565
DataValue,0.5241,0.001,1.20979e-09,6.237899999999999e-07,0.111554,515.61841311302,111.554
DataValue,0.5262,0.001,1.30139e-09,6.9307e-07,0.1115565,532.561338261397,111.5565
DataValue,0.5283000000000001,0.001,1.3998600000000002e-09,7.543599999999999e-07,0.111553,538.882459674539,111.553
DataValue,0.5304,0.001,1.5055e-09,7.7708e-07,0.1115545,516.1607439388911,111.5545
DataValue,0.5325,0.001,1.61948e-09,9.4071e-07,0.1115525,580.871637809667,111.5525
DataValue,0.5346,0.001,1.74374e-09,9.9761e-07,0.1115545,572.109374103938,111.5545
DataValue,0.5367,0.001,1.87198e-09,1.0946499999999998e-06,0.111555,584.755179008323,111.555
DataValue,0.5388,0.001,2.01397e-09,1.19415e-06,0.111548,592.933360477068,111.548
DataValue,0.5409,0.001,2.16758e-09,1.33569e-06,0.111552,616.21255040183,111.552
DataValue,0.543,0.001,2.33345e-09,1.41534e-06,0.111551,606.54395851636,111.551
DataValue,0.5451,0.001,2.51271e-09,1.60451e-06,0.11155,638.557573297356,111.55
DataValue,0.5472,0.001,2.70661e-09,1.63439e-06,0.1115505,603.851312158013,111.5505
DataValue,0.5493,0.001,2.91683e-09,1.76916e-06,0.1115545,606.535176887237,111.5545
DataValue,0.5514,0.001,3.14392e-09,1.98334e-06,0.111555,630.849385480546,111.555
DataValue,0.5535,0.001,3.3876e-09,2.11657e-06,0.1115545,624.7992679182901,111.5545
DataValue,0.5556,0.001,3.6535500000000005e-09,2.2768199999999997e-06,0.111553,623.180194605247,111.553
DataValue,0.5577,0.001,3.93669e-09,2.3552e-06,0.1115525,598.269104247477,111.5525
DataValue,0.5598,0.001,4.24604e-09,2.78872e-06,0.1115515,656.781377471715,111.5515
DataValue,0.5619,0.001,4.576730000000001e-09,2.7303999999999997e-06,0.1115495,596.583149978259,111.5495
DataValue,0.564,0.001,4.93594e-09,3.31073e-06,0.111552,670.739514661848,111.552
DataValue,0.566,0.001,5.30772e-09,3.197e-06,0.11155,602.330190741034,111.55
DataValue,0.5681,0.001,5.72677e-09,3.87405e-06,0.1115505,676.4808085535129,111.5505
DataValue,0.5702,0.001,6.17547e-09,3.8945e-06,0.111553,630.640258960047,111.553
DataValue,0.5723,0.001,6.6662e-09,4.54403e-06,0.1115505,681.6522156550959,111.5505
DataValue,0.5744,0.001,7.1913400000000005e-09,4.6759e-06,0.1115495,650.212616841924,111.5495
DataValue,0.5765,0.001,7.764960000000001e-09,5.34499e-06,0.111548,688.347396509447,111.548
DataValue,0.5786,0.001,8.37746e-09,5.5061e-06,0.1115525,657.25172068861,111.5525
DataValue,0.5807000000000001,0.001,9.04799e-09,6.25441e-06,0.111553,691.248553546146,111.553
DataValue,0.5828000000000001,0.001,9.76447e-09,6.557699999999999e-06,0.11155,671.587910045297,111.55
DataValue,0.5849,0.001,1.054467e-08,7.32217e-06,0.111551,694.395367517428,111.551
DataValue,0.587,0.001,1.138148e-08,7.73e-06,0.111555,679.17353454911,111.555
DataValue,0.5891,0.001,1.23007e-08,8.61997e-06,0.111556,700.7706878470331,111.556
DataValue,0.5912,0.001,1.32796e-08,9.183e-06,0.111557,691.511792523871,111.557
DataValue,0.5933,0.001,1.43439e-08,1.0127390000000002e-05,0.1115585,706.041592593367,111.5585
DataValue,0.5954,0.001,1.54904e-08,1.07447e-05,0.111558,693.6360584620151,111.558
DataValue,0.5975,0.001,1.67373e-08,1.17785e-05,0.111555,703.72760242094,111.555
DataValue,0.5996,0.001,1.80867e-08,1.2768200000000004e-05,0.111558,705.944146804005,111.558
DataValue,0.6017000000000001,0.001,1.95359e-08,1.38338e-05,0.111559,708.121970321306,111.559
DataValue,0.6038000000000001,0.001,2.10593e-08,1.4972900000000002e-05,0.111557,710.9875446952179,111.557
DataValue,0.6059000000000001,0.001,2.27581e-08,1.63158e-05,0.1115565,716.922765960252,111.5565
DataValue,0.6080000000000001,0.001,2.45977e-08,1.7622000000000002e-05,0.111563,716.408444691984,111.563
DataValue,0.6101,0.001,2.6581800000000002e-08,1.90947e-05,0.111556,718.337358643884,111.556
DataValue,0.6122,0.001,2.87365e-08,2.07157e-05,0.1115605,720.884589285404,111.5605
DataValue,0.6143,0.001,3.1067900000000005e-08,2.24564e-05,0.1115575,722.8167980455711,111.5575
DataValue,0.6164,0.001,3.3586200000000005e-08,2.4350700000000004e-05,0.1115599999999999,725.020990764064,111.56
DataValue,0.6185,0.001,3.63065e-08,2.63468e-05,0.1115575,725.677220332447,111.5575
DataValue,0.6206,0.001,3.92496e-08,2.8627500000000003e-05,0.1115585,729.370490399902,111.5585
DataValue,0.6227,0.001,4.243920000000001e-08,3.09779e-05,0.111557,729.936002563667,111.557
DataValue,0.6248,0.001,4.5894300000000004e-08,3.3591400000000005e-05,0.1115615,731.929673183816,111.5615
DataValue,0.6269,0.001,4.96301e-08,3.63609e-05,0.111559,732.638056340809,111.559
DataValue,0.629,0.001,5.3651400000000004e-08,3.93855e-05,0.1115565,734.100135317997,111.5565
DataValue,0.6311,0.001,5.80257e-08,4.27347e-05,0.1115594999999999,736.478836101934,111.5595
DataValue,0.6332,0.001,6.27468e-08,4.62585e-05,0.1115599999999999,737.224846526038,111.56
DataValue,0.6353,0.001,6.78639e-08,5.0115900000000006e-05,0.111557,738.476568543806,111.557
DataValue,0.6374,0.001,7.33757e-08,5.43446e-05,0.1115565,740.634842325184,111.5565
DataValue,0.6395,0.001,7.936250000000001e-08,5.881770000000001e-05,0.1115594999999999,741.1271066309661,111.5595
DataValue,0.6416,0.001,8.584289999999999e-08,6.37132e-05,0.111556,742.2069850855461,111.556
DataValue,0.6437,0.001,9.285e-08,6.900890000000001e-05,0.1115599999999999,743.229940764674,111.56
DataValue,0.6458,0.001,1.004381e-07,7.48978e-05,0.111556,745.7110399340489,111.556
DataValue,0.6479,0.001,1.0864960000000001e-07,8.096140000000001e-05,0.1115594999999999,745.160589638618,111.5595
DataValue,0.65,0.001,1.17574e-07,8.801470000000001e-05,0.111557,748.5898242808789,111.557
DataValue,0.6521,0.001,1.27149e-07,9.49704e-05,0.1115594999999999,746.922114998938,111.5595
DataValue,0.6542,0.001,1.37098e-07,0.000102741,0.111558,749.398240674554,111.558
DataValue,0.6563,0.001,1.4835599999999998e-07,0.000111392,0.1115605,750.8425678772678,111.5605
DataValue,0.6584,0.001,1.60475e-07,0.000120469,0.1115599999999999,750.702601651348,111.56
DataValue,0.6605,0.001,1.73579e-07,0.000130497,0.1115605,751.8017732559821,111.5605
DataValue,0.6626,0.001,1.87822e-07,0.000141433,0.1115565,753.0161535922309,111.5565
DataValue,0.6647,0.001,2.03143e-07,0.000152974,0.111563,753.036038652575,111.563
DataValue,0.6668,0.001,2.19723e-07,0.000165671,0.111559,753.999353731744,111.559
