VCE ,leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 5 ) (A)
100.00000E-3,583.89511E-6,668.00351E-6,701.67743E-6,752.91795E-6,737.83405E-6,1.0798318E-3,1.2183068E-3,1.2778311E-3,1.3573702E-3,1.3286218E-3,1.5048604E-3,1.6781790E-3,1.7567775E-3,1.8516363E-3,1.8125631E-3,1.8743119E-3,2.0704508E-3,2.1631487E-3,2.2665063E-3,2.2201905E-3,2.2004141E-3,2.4120082E-3,2.5153347E-3,2.6235942E-3,2.5723924E-3,2.4923936E-3,2.7148229E-3,2.8263592E-3,2.9375549E-3,2.8831794E-3
110.00000E-3,715.78570E-6,822.54130E-6,855.44221E-6,925.10893E-6,923.09507E-6,1.3163834E-3,1.4880958E-3,1.5474887E-3,1.6522400E-3,1.6407057E-3,1.8219799E-3,2.0316561E-3,2.1106146E-3,2.2316450E-3,2.2108908E-3,2.2537002E-3,2.4858260E-3,2.5789902E-3,2.7074109E-3,2.6797293E-3,2.6289380E-3,2.8747929E-3,2.9784252E-3,3.1101247E-3,3.0777185E-3,2.9607047E-3,3.2152687E-3,3.3268065E-3,3.4598348E-3,3.4244162E-3
120.00000E-3,847.62160E-6,979.09422E-6,1.0084103E-3,1.0995243E-3,1.1171332E-3,1.5556516E-3,1.7636171E-3,1.8192143E-3,1.9530408E-3,1.9662956E-3,2.1435334E-3,2.3920717E-3,2.4677400E-3,2.6181323E-3,2.6223309E-3,2.6376064E-3,2.9072697E-3,2.9974920E-3,3.1532589E-3,3.1496884E-3,3.0609277E-3,3.3417282E-3,3.4425308E-3,3.5992209E-3,3.5901033E-3,3.4308089E-3,3.7175384E-3,3.8261963E-3,3.9820814E-3,3.9693243E-3
130.00000E-3,972.06937E-6,1.1292995E-3,1.1525683E-3,1.2672448E-3,1.3102473E-3,1.7873822E-3,2.0341673E-3,2.0826673E-3,2.2490551E-3,2.2938752E-3,2.4588406E-3,2.7488417E-3,2.8181080E-3,3.0009620E-3,3.0356637E-3,3.0157831E-3,3.3249205E-3,3.4095182E-3,3.5949131E-3,3.6196451E-3,3.4867907E-3,3.8037711E-3,3.8994695E-3,4.0827368E-3,4.1000309E-3,3.8937965E-3,4.2133782E-3,4.3172235E-3,4.4970497E-3,4.5092757E-3
140.00000E-3,1.0833122E-3,1.2661187E-3,1.2816123E-3,1.4207322E-3,1.4933084E-3,2.0029540E-3,2.2905899E-3,2.3292898E-3,2.5312545E-3,2.6133972E-3,2.7592188E-3,3.0935461E-3,3.1538797E-3,3.3723574E-3,3.4422191E-3,3.3804782E-3,3.7316457E-3,3.8085839E-3,4.0260921E-3,4.0824108E-3,3.8998453E-3,4.2549789E-3,4.3440020E-3,4.5556520E-3,4.6015832E-3,4.3439619E-3,4.6978520E-3,4.7956852E-3,5.0007442E-3,5.0394139E-3
150.00000E-3,1.1778496E-3,1.3848013E-3,1.3917083E-3,1.5547731E-3,1.6590204E-3,2.1960233E-3,2.5257818E-3,2.5526787E-3,2.7926063E-3,2.9168005E-3,3.0380866E-3,3.4198537E-3,3.4692066E-3,3.7266292E-3,3.8357852E-3,3.7261341E-3,4.1225910E-3,4.1902826E-3,4.4427519E-3,4.5335081E-3,4.2957434E-3,4.6918018E-3,4.7730341E-3,5.0152262E-3,5.0916115E-3,4.7780224E-3,5.1684478E-3,5.2595290E-3,5.4914179E-3,5.5576128E-3
160.00000E-3,1.2546124E-3,1.4832082E-3,1.4816020E-3,1.6668235E-3,1.8026211E-3,2.3627318E-3,2.7347915E-3,2.7486296E-3,3.0280117E-3,3.1979395E-3,3.2907152E-3,3.7230804E-3,3.7597685E-3,4.0596006E-3,4.2120072E-3,4.0487827E-3,4.4944578E-3,4.5515539E-3,4.8422939E-3,4.9703166E-3,4.6716725E-3,5.1122208E-3,5.1847668E-3,5.4601095E-3,5.5687457E-3,5.1942113E-3,5.6241361E-3,5.7079430E-3,5.9686318E-3,6.0634084E-3
170.00000E-3,1.3145193E-3,1.5615559E-3,1.5521953E-3,1.7568146E-3,1.9220495E-3,2.5016464E-3,2.9147687E-3,2.9150722E-3,3.2341716E-3,3.4523090E-3,3.5139577E-3,3.9997292E-3,4.0223676E-3,4.3680556E-3,4.5676973E-3,4.3454736E-3,4.8448262E-3,4.8900565E-3,5.2228744E-3,5.3912678E-3,5.0256435E-3,5.5150077E-3,5.5780096E-3,5.8896286E-3,6.0325624E-3,5.5915151E-3,6.0646150E-3,6.1406641E-3,6.4325468E-3,6.5571670E-3
180.00000E-3,1.3597471E-3,1.6217717E-3,1.6058184E-3,1.8265678E-3,2.0176689E-3,2.6134958E-3,3.0648781E-3,3.0519519E-3,3.4095222E-3,3.6768349E-3,3.7061150E-3,4.2472012E-3,4.2547270E-3,4.6493719E-3,4.9002764E-3,4.6139004E-3,5.1716612E-3,5.2037456E-3,5.5829080E-3,5.7952346E-3,5.3559833E-3,5.8991924E-3,5.9517081E-3,6.3032950E-3,6.4829986E-3,5.9691354E-3,6.4897909E-3,6.5575171E-3,6.8834593E-3,7.0395307E-3
190.00000E-3,1.3929983E-3,1.6667130E-3,1.6454585E-3,1.8790250E-3,2.0916619E-3,2.7007052E-3,3.1861443E-3,3.1609959E-3,3.5542123E-3,3.8698303E-3,3.8669355E-3,4.4637355E-3,4.4555105E-3,4.9013843E-3,5.2074278E-3,4.8522736E-3,5.4730314E-3,5.4906692E-3,5.9207644E-3,6.1811273E-3,5.6610468E-3,6.2637260E-3,6.3046596E-3,6.7004988E-3,6.9199824E-3,6.3261557E-3,6.8994577E-3,6.9581399E-3,7.3215268E-3,7.5110889E-3
