VCE ,leafValue( DP1_IC1 "Ibpol" 2e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC1 "Ibpol" 2e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC1 "Ibpol" 2e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC1 "Ibpol" 2e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC1 "Ibpol" 2e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC1 "Ibpol" 4e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC1 "Ibpol" 4e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC1 "Ibpol" 4e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC1 "Ibpol" 4e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC1 "Ibpol" 4e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC1 "Ibpol" 6e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC1 "Ibpol" 6e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC1 "Ibpol" 6e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC1 "Ibpol" 6e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC1 "Ibpol" 6e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC1 "Ibpol" 8e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC1 "Ibpol" 8e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC1 "Ibpol" 8e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC1 "Ibpol" 8e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC1 "Ibpol" 8e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC1 "Ibpol" 1e-05 "mcparamset" 1 ) (A),leafValue( DP1_IC1 "Ibpol" 1e-05 "mcparamset" 2 ) (A),leafValue( DP1_IC1 "Ibpol" 1e-05 "mcparamset" 3 ) (A),leafValue( DP1_IC1 "Ibpol" 1e-05 "mcparamset" 4 ) (A),leafValue( DP1_IC1 "Ibpol" 1e-05 "mcparamset" 5 ) (A),leafValue( DP1_IC1 "Ibpol" 1.2e-05 "mcparamset" 1 ) (A),leafValue( DP1_IC1 "Ibpol" 1.2e-05 "mcparamset" 2 ) (A),leafValue( DP1_IC1 "Ibpol" 1.2e-05 "mcparamset" 3 ) (A),leafValue( DP1_IC1 "Ibpol" 1.2e-05 "mcparamset" 4 ) (A),leafValue( DP1_IC1 "Ibpol" 1.2e-05 "mcparamset" 5 ) (A)
0.0000000,-1.7584491E-6,-1.9069647E-6,-2.0489689E-6,-2.0914532E-6,-1.9478978E-6,-3.5078835E-6,-3.8021852E-6,-4.0831103E-6,-4.1667771E-6,-3.8837544E-6,-5.2294159E-6,-5.6629650E-6,-6.0760184E-6,-6.1986413E-6,-5.7839063E-6,-6.9219941E-6,-7.4882781E-6,-8.0267773E-6,-8.1862198E-6,-7.6473302E-6,-8.5865017E-6,-9.2793899E-6,-9.9371028E-6,-10.131396E-6,-9.4753811E-6,-10.224272E-6,-11.038070E-6,-11.809256E-6,-12.036599E-6,-11.269930E-6
10.000000E-3,9.1488459E-6,10.411044E-6,11.623713E-6,11.982701E-6,10.755768E-6,17.916638E-6,20.346354E-6,22.674719E-6,23.361235E-6,21.013579E-6,26.394861E-6,29.918267E-6,33.286626E-6,34.276242E-6,30.891338E-6,34.624550E-6,39.178675E-6,43.522756E-6,44.794873E-6,40.443733E-6,42.633660E-6,48.163385E-6,53.427243E-6,54.964039E-6,49.708539E-6,50.443492E-6,56.899831E-6,63.034039E-6,64.819855E-6,58.714695E-6
20.000000E-3,24.820958E-6,28.129665E-6,31.200713E-6,32.187776E-6,29.086441E-6,48.576281E-6,54.921279E-6,60.797034E-6,62.674573E-6,56.770255E-6,71.479205E-6,80.640565E-6,89.105955E-6,91.797136E-6,83.331619E-6,93.642084E-6,105.43173E-6,116.30361E-6,119.74381E-6,108.92304E-6,115.14552E-6,129.39925E-6,142.51861E-6,146.65230E-6,133.65503E-6,136.05259E-6,152.62518E-6,167.85216E-6,172.63096E-6,157.61429E-6
30.000000E-3,47.121749E-6,53.382489E-6,58.921323E-6,60.904772E-6,55.328145E-6,91.958675E-6,103.87809E-6,114.40648E-6,118.14312E-6,107.61834E-6,134.93537E-6,152.02559E-6,167.09715E-6,172.40475E-6,157.44245E-6,176.29620E-6,198.14353E-6,217.38061E-6,224.10817E-6,205.13920E-6,216.22137E-6,242.46857E-6,265.54627E-6,273.56617E-6,250.96003E-6,254.85383E-6,285.18855E-6,311.82417E-6,321.02703E-6,295.10424E-6
40.000000E-3,78.417337E-6,88.900549E-6,97.559921E-6,101.14083E-6,92.467848E-6,152.37523E-6,172.12571E-6,188.44169E-6,195.09382E-6,178.92025E-6,222.67594E-6,250.71702E-6,273.87644E-6,283.20408E-6,260.47450E-6,289.81456E-6,325.33189E-6,354.65487E-6,366.33849E-6,337.83633E-6,354.16415E-6,396.46737E-6,431.37759E-6,445.15421E-6,411.53838E-6,416.02313E-6,464.51996E-6,504.52387E-6,520.17400E-6,482.00460E-6
50.000000E-3,121.49877E-6,137.94898E-6,150.26834E-6,156.41844E-6,144.19607E-6,234.71672E-6,265.26974E-6,288.23743E-6,299.44367E-6,276.99554E-6,341.14006E-6,383.94658E-6,416.21431E-6,431.65453E-6,400.56431E-6,441.74351E-6,495.30161E-6,535.75978E-6,554.79513E-6,516.34436E-6,537.27406E-6,600.34536E-6,648.07190E-6,670.19674E-6,625.43417E-6,628.33117E-6,699.88234E-6,754.10444E-6,778.91239E-6,728.70486E-6
60.000000E-3,179.29330E-6,204.03482E-6,220.15083E-6,230.39805E-6,214.69304E-6,343.81391E-6,388.91824E-6,418.63825E-6,436.84419E-6,408.49779E-6,496.27094E-6,558.38968E-6,599.68674E-6,624.20829E-6,585.60891E-6,638.53949E-6,715.05287E-6,766.28542E-6,795.91172E-6,748.93560E-6,772.07318E-6,860.90339E-6,920.73796E-6,954.56051E-6,900.69216E-6,898.03508E-6,997.51311E-6,1.0648601E-3,1.1021852E-3,1.0426100E-3
70.000000E-3,254.28188E-6,290.28634E-6,309.51473E-6,326.14604E-6,308.06967E-6,483.34394E-6,547.48058E-6,582.67839E-6,611.32250E-6,579.20544E-6,691.97783E-6,778.45940E-6,826.93012E-6,864.45608E-6,821.43721E-6,883.66847E-6,988.18489E-6,1.0477571E-3,1.0920101E-3,1.0404944E-3,1.0611344E-3,1.1804371E-3,1.2493802E-3,1.2988512E-3,1.2406794E-3,1.2265298E-3,1.3581344E-3,1.4350683E-3,1.4886777E-3,1.4252685E-3
80.000000E-3,347.64705E-6,398.51170E-6,418.90098E-6,445.10345E-6,427.40684E-6,654.47234E-6,742.66739E-6,780.18436E-6,823.73677E-6,792.35395E-6,928.50190E-6,1.0445275E-3,1.0961468E-3,1.1514250E-3,1.1097185E-3,1.1758815E-3,1.3130809E-3,1.3762840E-3,1.4397248E-3,1.3903032E-3,1.4014210E-3,1.5550840E-3,1.6278629E-3,1.6971735E-3,1.6420086E-3,1.6088738E-3,1.7756074E-3,1.8563823E-3,1.9300480E-3,1.8706259E-3
90.000000E-3,458.38241E-6,528.16866E-6,546.23459E-6,586.06014E-6,573.55144E-6,854.74274E-6,972.26062E-6,1.0069411E-3,1.0707113E-3,1.0470677E-3,1.2014518E-3,1.3519389E-3,1.4007001E-3,1.4789574E-3,1.4465753E-3,1.5086154E-3,1.6824309E-3,1.7427811E-3,1.8300721E-3,1.7912089E-3,1.7841819E-3,1.9749922E-3,2.0448325E-3,2.1379816E-3,2.0944612E-3,2.0342443E-3,2.2377948E-3,2.3154501E-3,2.4125509E-3,2.3657760E-3
100.00000E-3,582.78681E-6,675.69884E-6,686.56344E-6,744.63077E-6,744.11306E-6,1.0778311E-3,1.2298385E-3,1.2549641E-3,1.3447047E-3,1.3377193E-3,1.5021580E-3,1.6915181E-3,1.7301954E-3,1.8367103E-3,1.8228565E-3,1.8710589E-3,2.0846085E-3,2.1348629E-3,2.2503835E-3,2.2309676E-3,2.1967257E-3,2.4265111E-3,2.4863173E-3,2.6068111E-3,2.5833424E-3,2.4883565E-3,2.7294445E-3,2.7970785E-3,2.9203916E-3,2.8941667E-3
110.00000E-3,714.72848E-6,834.66519E-6,832.67226E-6,913.62156E-6,933.21368E-6,1.3144261E-3,1.5057339E-3,1.5138551E-3,1.6353040E-3,1.6547253E-3,1.8192999E-3,2.0514496E-3,2.0725720E-3,2.2123638E-3,2.2261468E-3,2.2504534E-3,2.5062999E-3,2.5394859E-3,2.6871636E-3,2.6952277E-3,2.6252478E-3,2.8953374E-3,2.9387055E-3,3.0895086E-3,3.0931102E-3,2.9566655E-3,3.2356446E-3,3.2873700E-3,3.4391123E-3,3.4395927E-3
120.00000E-3,846.71809E-6,996.77642E-6,976.42196E-6,1.0842479E-3,1.1322531E-3,1.5538802E-3,1.7888038E-3,1.7726213E-3,1.9311322E-3,1.9864571E-3,2.1410214E-3,2.4196020E-3,2.4162013E-3,2.5939444E-3,2.6434982E-3,2.6345009E-3,2.9350874E-3,2.9451148E-3,3.1285065E-3,3.1706051E-3,3.0573579E-3,3.3691192E-3,3.3908152E-3,3.5745208E-3,3.6104513E-3,3.4268775E-3,3.7443013E-3,3.7755979E-3,3.9576386E-3,3.9890767E-3
130.00000E-3,971.40648E-6,1.1534285E-3,1.1103075E-3,1.2477381E-3,1.3314192E-3,1.7859243E-3,2.0682042E-3,2.0212280E-3,2.2215304E-3,2.3213207E-3,2.4566231E-3,2.7852830E-3,2.7512104E-3,2.9713372E-3,3.0635935E-3,3.0129280E-3,3.3609970E-3,3.3427577E-3,3.5652864E-3,3.6465690E-3,3.4834312E-3,3.8386947E-3,3.8346080E-3,4.0537081E-3,4.1257423E-3,3.8900463E-3,4.2470405E-3,4.2546024E-3,4.4687279E-3,4.5338888E-3
140.00000E-3,1.0829466E-3,1.2972015E-3,1.2287025E-3,1.3967658E-3,1.5213403E-3,2.0019111E-3,2.3345806E-3,2.2515267E-3,2.4975374E-3,2.6491786E-3,2.7574007E-3,3.1399952E-3,3.0698881E-3,3.3367545E-3,3.4777080E-3,3.3779598E-3,3.7768461E-3,3.7259674E-3,3.9911948E-3,4.1158796E-3,3.8967604E-3,4.2980734E-3,4.2648692E-3,4.5220226E-3,4.6330162E-3,4.3404384E-3,4.7388767E-3,4.7202099E-3,4.9683589E-3,5.0691266E-3
150.00000E-3,1.1778021E-3,1.4228912E-3,1.3284850E-3,1.5263652E-3,1.6943766E-3,2.1954646E-3,2.5805821E-3,2.4576267E-3,2.7522062E-3,2.9618875E-3,3.0367529E-3,3.4773697E-3,3.3664830E-3,3.6844700E-3,3.8796343E-3,3.7240239E-3,4.1778002E-3,4.0902760E-3,4.4021288E-3,4.5740697E-3,4.2929823E-3,4.7437276E-3,4.6784207E-3,4.9766709E-3,5.1291292E-3,4.7747546E-3,5.2173126E-3,5.1702970E-3,5.4547405E-3,5.5926649E-3
160.00000E-3,1.2548714E-3,1.5279175E-3,1.4090080E-3,1.6342362E-3,1.8453627E-3,2.3626917E-3,2.8009438E-3,2.6359538E-3,2.9805635E-3,3.2532148E-3,3.2899345E-3,3.7927023E-3,3.6367983E-3,4.0102607E-3,4.2650743E-3,4.0471455E-3,4.5606358E-3,4.4324988E-3,4.7954083E-3,5.0185806E-3,4.6692797E-3,5.1737181E-3,5.0732972E-3,5.4162315E-3,5.6127579E-3,5.1912227E-3,5.6813837E-3,5.6039051E-3,5.9273766E-3,6.1040745E-3
170.00000E-3,1.3150502E-3,1.6121501E-3,1.4715716E-3,1.7205083E-3,1.9718295E-3,2.5021242E-3,2.9924192E-3,2.7851683E-3,3.1794966E-3,3.5185274E-3,3.5137808E-3,4.0824502E-3,3.8778680E-3,4.3108784E-3,4.6309276E-3,4.3443729E-3,4.9230402E-3,4.7501576E-3,5.1690952E-3,5.4479432E-3,5.0236671E-3,5.5869375E-3,5.4480877E-3,5.8399458E-3,6.0835554E-3,5.5888324E-3,6.1308895E-3,6.0205690E-3,6.3863619E-3,6.6037787E-3
180.00000E-3,1.3605038E-3,1.6773156E-3,1.5186604E-3,1.7871224E-3,2.0737932E-3,2.6144590E-3,3.1537069E-3,2.9059670E-3,3.3476928E-3,3.7545399E-3,3.7065716E-3,4.3438906E-3,4.0878340E-3,4.5837102E-3,4.9747093E-3,4.6133999E-3,5.2630895E-3,5.0411218E-3,5.5215057E-3,5.8611573E-3,5.3544804E-3,5.9825647E-3,5.8014911E-3,6.2472289E-3,6.5415564E-3,5.9667942E-3,6.5658643E-3,6.4198721E-3,6.8319184E-3,7.0924915E-3
