 VB	 IB	 IC	 beta
0.8	6.807E-12	1.915E-12	0.281328044659909
0.8004	5.0730000000000007E-12	-5.72E-13	-0.112753794598857
0.8008	6.7229999999999995E-12	1.12E-12	0.166592295106351
0.80120000000000013	1.5179E-11	2.749E-12	0.18110547466895
0.80160000000000009	4.865E-12	-3.64E-12	-0.7482014388489211
0.802	2.133E-12	4.01E-13	0.18799812470698502
0.8024	1.538E-11	-1.662E-12	-0.108062418725618
0.80280000000000007	4.2850000000000004E-12	8.87E-13	0.207001166861143
0.8032	-1.0232000000000001E-11	1.433E-12	-0.14005082095387
0.8036	9.3160000000000011E-12	-1.01E-12	-0.108415629025333
0.80399999999999994	8.0399999999999991E-13	3.177E-12	3.95149253731343
0.80440000000000011	1.1060000000000001E-12	-4.2409999999999994E-12	-3.83453887884268
0.80480000000000007	4.1589999999999995E-12	-3.5499999999999996E-12	-0.853570569848521
0.8052	5.6639999999999993E-12	2.702E-12	0.47704802259887
0.8056	1.3121E-11	4.3879999999999995E-12	0.33442572974620804
0.806	5.184E-12	2.24E-12	0.432098765432099
0.8064	8.076E-12	-2.413E-12	-0.29878652798415
0.8068	8.33E-12	4.933E-12	0.59219687875150107
0.80719999999999992	-3.798E-12	4.1829999999999994E-12	-1.1013691416535
0.8076000000000001	2.7659999999999998E-11	-7.182E-12	-0.259652928416486
0.808	9.3930000000000009E-12	2.4500000000000003E-12	0.26083253486639
0.8084	3.206E-12	-1.667E-12	-0.519962570180911
0.8088	-1.8129999999999999E-12	3.865E-12	-2.13182570325428
0.80920000000000014	2.825E-11	-1.0882E-11	-0.38520353982300903
0.8096000000000001	1.6133E-11	-1.945E-12	-0.12056034215583
0.81	1.3022999999999999E-11	7.13E-12	0.54749289718190908
0.8104	-8.6400000000000005E-13	-4.692E-12	5.43055555555556
0.81080000000000008	4.952E-12	-4.505E-12	-0.909733441033926
0.8112	6.045E-12	5.89E-13	0.0974358974358974
0.8116	1.3728999999999999E-11	-2.492E-12	-0.18151358438342202
0.81199999999999994	9.8320000000000009E-12	2.1600000000000001E-13	0.0219690805532954
0.81240000000000012	1.2036E-11	-3.5969999999999997E-12	-0.298853439680957
0.81280000000000008	6.45E-12	2.2149999999999998E-12	0.34341085271317806
0.8132	3.2850000000000002E-12	3.646E-12	1.10989345509893
0.8136	-2.57E-13	6.03E-12	-23.4630350194552
0.81400000000000006	1.8689E-11	2.129E-12	0.11391727754294001
0.8144	1.8873E-11	-4.429E-12	-0.234673872728236
0.8148	3.3731E-11	1.032E-11	0.305950016305476
0.81519999999999992	8E-13	8.258E-12	10.322499999999998
0.8156000000000001	8.493E-12	-3.268E-12	-0.384787472035794
0.81600000000000006	2.46E-13	-1.2098999999999998E-11	-49.1829268292683
0.8164	1.3244999999999999E-11	-6.417E-12	-0.484484711211778
0.8168	-3.926E-12	3.23E-13	-0.0822720326031584
0.81720000000000015	2.1922999999999997E-11	3.0379999999999998E-12	0.138575924827806
0.8176000000000001	2.0451E-11	7.639E-12	0.373526966896484
0.81800000000000006	1.461E-11	-1.3729999999999999E-11	-0.93976728268309406
0.8184	1.0081E-11	5.8899999999999993E-12	0.58426743378633106
0.81880000000000008	1.345E-11	-3.874E-12	-0.288029739776952
0.8192	1.7423E-11	2.972E-12	0.17057911955461202
0.8196	2.2189999999999997E-11	2.25E-12	0.10139702568724701
0.82	2.849E-12	7.81E-13	0.27413127413127397
0.82040000000000013	2.5983E-11	3.01E-12	0.115844975560944
0.82080000000000009	1.4824E-11	5.1139999999999994E-12	0.34498111171073903
0.8212	1.5309999999999997E-11	1.413E-12	0.092292619203135209
0.8216	2.1749999999999996E-11	3.35E-12	0.15402298850574703
0.82200000000000006	1.6146E-11	2.612E-12	0.16177381394772702
0.8224	2.8325999999999995E-11	2.0800000000000002E-13	0.00734307703170232
0.8228	2.1484999999999997E-11	1.154E-12	0.0537118920176868
0.82319999999999993	1.6981999999999997E-11	8.4570000000000008E-12	0.49799788010835
0.82360000000000011	1.3609999999999999E-11	3.0550000000000002E-12	0.224467303453343
0.82400000000000007	2.1182999999999998E-11	3.194E-12	0.15078128688099002
0.8244	2.1459E-11	9.547E-12	0.44489491588610797
0.8248	2.7743E-11	5.4999999999999996E-12	0.198248206754857
0.82520000000000016	1.2317E-11	8.865E-12	0.71973694893237006
0.82560000000000011	1.6649E-11	4.4820000000000005E-12	0.26920535767914
0.82600000000000007	1.6324E-11	1.1801999999999998E-11	0.722984562607204
0.8264	4.689199999999999E-11	-8.4000000000000006E-13	-0.0179135033694447
0.82680000000000009	1.8050999999999997E-11	3.1459999999999997E-12	0.174283973187081
0.8272	2.7201E-11	2.889E-12	0.10620933053931801
0.8276	3.9558E-11	5.194E-12	0.131300874665049
0.828	2.5486E-11	7.494E-12	0.294043788746763
0.82840000000000014	2.7097E-11	5.9139999999999992E-12	0.21825294313023602
0.82880000000000009	4.0445E-11	7.174E-12	0.17737668438620302
0.8292	3.2889E-11	4.457E-12	0.135516434066101
0.8296	3.6265E-11	7.328E-12	0.202068109747691
0.83000000000000007	3.4943E-11	7.526E-12	0.215379332055061
0.8304	3.102E-11	7.088E-12	0.22849774339136003
0.8308	4.0007E-11	2.459E-12	0.061464243757342496
0.83119999999999994	3.8363E-11	8.269E-12	0.21554622943982504
0.83160000000000012	4.0704E-11	1.7195E-11	0.422440055031446
0.83200000000000007	4.2598E-11	9.88E-12	0.231935771632471
0.8324	4.069E-11	6.532E-12	0.16053084295895803
0.8328	4.7416999999999996E-11	1.3996999999999999E-11	0.295189489001835
