 VB	 IT	 IB	 IC	 VT	 beta	Rpt100
0.4	0.001	2.1505999999999997E-11	3.4163400000000002E-09	0.1094725	158.855203199107	109.4725
0.4005	0.001	1.9437E-11	3.4754100000000005E-09	0.109469	178.803827751196	109.469
0.401	0.001	2.0075999999999998E-11	3.54661E-09	0.10947050000000001	176.65919505877702	109.4705
0.40149999999999997	0.001	2.1044999999999997E-11	3.6195800000000004E-09	0.10947450000000002	171.99239724400098	109.4745
0.40199999999999997	0.001	2.0893E-11	3.6834600000000004E-09	0.10947150000000001	176.301153496386	109.4715
0.40250000000000008	0.001	1.9896E-11	3.76089E-09	0.1094755	189.02744270205102	109.4755
0.403	0.001	1.92E-11	3.8379100000000004E-09	0.109476	199.891145833333	109.476
0.4035	0.001	2.0237999999999998E-11	3.90494E-09	0.109472	192.95088447474998	109.472
0.404	0.001	2.1377E-11	3.98653E-09	0.10947499999999999	186.486878420733	109.475
0.4045	0.001	2.1652999999999998E-11	4.0697700000000005E-09	0.10947150000000001	187.954094120907	109.4715
0.405	0.001	2.0569E-11	4.1414600000000007E-09	0.1094755	201.34474208760798	109.4755
0.40549999999999997	0.001	2.0425E-11	4.22736E-09	0.109477	206.969889840881	109.477
0.40599999999999997	0.001	2.103E-11	4.314040000000001E-09	0.10947450000000002	205.13742272943398	109.4745
0.40650000000000008	0.001	2.2233E-11	4.39088E-09	0.10947400000000002	197.493815499483	109.474
0.40700000000000003	0.001	2.2524999999999998E-11	4.48239E-09	0.109476	198.99622641509401	109.476
0.40750000000000003	0.001	2.1918999999999998E-11	4.5753000000000009E-09	0.1094755	208.736712441261	109.4755
0.40800000000000003	0.001	2.1139999999999998E-11	4.65635E-09	0.10947150000000001	220.26253547776702	109.4715
0.40850000000000003	0.001	2.2113999999999997E-11	4.7514900000000005E-09	0.10947000000000001	214.8634349281	109.47
0.40900000000000003	0.001	2.3407E-11	4.84974E-09	0.109473	207.191865681206	109.473
0.4095	0.001	2.3767999999999998E-11	4.93598E-09	0.10947100000000001	207.67334230898703	109.471
0.41	0.001	2.3205E-11	5.0392100000000004E-09	0.109473	217.160525748761	109.473
0.41050000000000009	0.001	2.2677999999999995E-11	5.14375E-09	0.10947400000000002	226.816738689479	109.474
0.41100000000000003	0.001	2.3304E-11	5.234250000000001E-09	0.10947150000000001	224.60736354274	109.4715
0.41150000000000003	0.001	2.4582000000000002E-11	5.3431100000000006E-09	0.109476	217.35863640061803	109.476
0.41200000000000003	0.001	2.5419E-11	5.45515E-09	0.10947150000000001	214.60915063535202	109.4715
0.41250000000000003	0.001	2.4809999999999996E-11	5.5518000000000006E-09	0.10946600000000001	223.772672309553	109.466
0.41300000000000003	0.001	2.424E-11	5.66684E-09	0.109473	233.780528052805	109.473
0.4135	0.001	2.4712999999999998E-11	5.7660400000000005E-09	0.109472	233.320114919273	109.472
0.414	0.001	2.6196999999999998E-11	5.88542E-09	0.10947150000000001	224.660075581173	109.4715
0.4145	0.001	2.6979999999999997E-11	6.00786E-09	0.1094735	222.678280207561	109.4735
0.41500000000000004	0.001	2.6221E-11	6.11381E-09	0.109472	233.164639029785	109.472
0.41550000000000004	0.001	2.5548E-11	6.24073E-09	0.109472	244.27469860654497	109.472
0.41600000000000004	0.001	2.6088E-11	6.3706500000000005E-09	0.1094725	244.19848206071802	109.4725
0.41650000000000004	0.001	2.8007E-11	6.48463E-09	0.10947050000000001	231.536044560288	109.4705
0.41700000000000004	0.001	2.8656E-11	6.61806E-09	0.109473	230.948492462312	109.473
0.4175	0.001	2.8111E-11	6.75458E-09	0.1094725	240.282451709295	109.4725
0.418	0.001	2.7602E-11	6.87524E-09	0.10947400000000002	249.08484892399102	109.474
0.4185	0.001	2.8330999999999996E-11	7.0185800000000008E-09	0.1094735	247.734989940348	109.4735
0.41900000000000004	0.001	2.9505E-11	7.1624900000000006E-09	0.1094725	242.75512624978802	109.4725
0.41950000000000004	0.001	3.0256E-11	7.28959E-09	0.1094725	240.930393971444	109.4725
0.42000000000000004	0.001	3.0176E-11	7.4411500000000009E-09	0.109473	246.59166224814402	109.473
0.42050000000000004	0.001	2.9719E-11	7.59585E-09	0.10947050000000001	255.58901712709	109.4705
0.42100000000000004	0.001	2.9925E-11	7.73071E-09	0.1094755	258.336173767753	109.4755
0.4215	0.001	3.1077E-11	7.89033E-09	0.1094735	253.896128969978	109.4735
0.422	0.001	3.2406E-11	8.0551800000000011E-09	0.10947000000000001	248.57063506757999	109.47
0.4225	0.001	3.2296999999999995E-11	8.19896E-09	0.10947150000000001	253.861349351333	109.4715
0.42300000000000004	0.001	3.1658E-11	8.36655E-09	0.109469	264.279171141576	109.469
0.42350000000000004	0.001	3.1823999999999995E-11	8.53951E-09	0.10946750000000001	268.335532931121	109.4675
0.42400000000000004	0.001	3.3322E-11	8.69106E-09	0.10947000000000001	260.820478962847	109.47
0.42450000000000004	0.001	3.4622E-11	8.8713400000000013E-09	0.1094685	256.234186355497	109.46849999999999
0.42500000000000004	0.001	3.4563E-11	9.0544400000000008E-09	0.1094695	261.96915776987	109.4695
0.4255	0.001	3.3848999999999996E-11	9.21567E-09	0.10946700000000001	272.25826464592797	109.467
0.426	0.001	3.4355999999999996E-11	9.40888E-09	0.1094685	273.86424496449	109.46849999999999
0.4265	0.001	3.5551E-11	9.6033100000000012E-09	0.10947050000000001	270.127703862057	109.4705
0.427	0.001	3.6867999999999994E-11	9.7731E-09	0.109473	265.08354128241297	109.473
0.42750000000000005	0.001	3.6878E-11	9.97513E-09	0.10946800000000001	270.489994034384	109.468
