DataName, VC, IT, IC, VT, RPT100
DataValue,2.18,0.001,0.0037608,0.11252,112.52
DataValue,2.2,0.001,0.0037631,0.112515,112.51500000000001
DataValue,2.22,0.001,0.0037659,0.11252,112.52
DataValue,2.24,0.001,0.0037686,0.11252,112.52
DataValue,2.26,0.001,0.0037719999999999,0.112525,112.525
DataValue,2.28,0.001,0.0037747,0.11252,112.52
DataValue,2.3,0.001,0.0037783,0.11252,112.52
DataValue,2.32,0.001,0.003782,0.11252,112.52
DataValue,2.34,0.001,0.0037854,0.11253,112.53
DataValue,2.36,0.001,0.0037897,0.112515,112.51500000000001
DataValue,2.38,0.001,0.0037935,0.112525,112.525
DataValue,2.4,0.001,0.0037978,0.11252,112.52
DataValue,2.42,0.001,0.0038025,0.112515,112.51500000000001
DataValue,2.44,0.001,0.0038079999999999,0.11252,112.52
DataValue,2.46,0.001,0.0038132,0.11251,112.51
DataValue,2.48,0.001,0.0038182,0.112525,112.525
DataValue,2.5,0.001,0.0038243,0.112515,112.51500000000001
DataValue,2.52,0.001,0.003831,0.11252,112.52
DataValue,2.54,0.001,0.0038369,0.112525,112.525
DataValue,2.56,0.001,0.0038442,0.112515,112.51500000000001
DataValue,2.58,0.001,0.0038511,0.11252,112.52
DataValue,2.6,0.001,0.0038586,0.11252,112.52
DataValue,2.62,0.001,0.0038667,0.11252,112.52
DataValue,2.64,0.001,0.0038748999999999,0.11252,112.52
DataValue,2.66,0.001,0.0038837,0.112515,112.51500000000001
DataValue,2.68,0.001,0.0038926,0.11252,112.52
DataValue,2.7,0.001,0.0039018,0.11252,112.52
DataValue,2.72,0.001,0.003912,0.11252,112.52
DataValue,2.74,0.001,0.0039227,0.112515,112.51500000000001
DataValue,2.76,0.001,0.0039336,0.11252,112.52
DataValue,2.78,0.001,0.0039456,0.11253,112.53
DataValue,2.8,0.001,0.0039577,0.11252,112.52
DataValue,2.82,0.001,0.0039698,0.11253,112.53
DataValue,2.84,0.001,0.0039828,0.11252,112.52
DataValue,2.86,0.001,0.0039965,0.112525,112.525
DataValue,2.88,0.001,0.0040111,0.112525,112.525
DataValue,2.9,0.001,0.004026,0.112525,112.525
DataValue,2.92,0.001,0.0040414,0.11252,112.52
DataValue,2.94,0.001,0.0040578,0.11252,112.52
DataValue,2.96,0.001,0.0040746,0.112525,112.525
DataValue,2.98,0.001,0.0040926999999999,0.112525,112.525
DataValue,3.0,0.001,0.0041111,0.11253,112.53
DataValue,3.0,0.001,0.0041113,0.112525,112.525
DataValue,2.98,0.001,0.0040922,0.11252,112.52
DataValue,2.96,0.001,0.0040744,0.112525,112.525
DataValue,2.94,0.001,0.0040571,0.11253,112.53
DataValue,2.92,0.001,0.0040403,0.112535,112.535
DataValue,2.9,0.001,0.0040242,0.11252,112.52
DataValue,2.88,0.001,0.004009,0.11253,112.53
DataValue,2.86,0.001,0.0039945,0.11252,112.52
DataValue,2.84,0.001,0.0039808,0.112525,112.525
DataValue,2.82,0.001,0.0039673,0.11252,112.52
DataValue,2.8,0.001,0.0039546,0.11252,112.52
DataValue,2.78,0.001,0.003942,0.11252,112.52
DataValue,2.76,0.001,0.0039304,0.11252,112.52
DataValue,2.74,0.001,0.0039198,0.112515,112.51500000000001
DataValue,2.72,0.001,0.003909,0.11252,112.52
DataValue,2.7,0.001,0.0038991,0.11252,112.52
DataValue,2.68,0.001,0.0038893,0.11252,112.52
DataValue,2.66,0.001,0.0038799,0.11253,112.53
DataValue,2.64,0.001,0.0038707,0.11253,112.53
DataValue,2.62,0.001,0.0038624,0.11252,112.52
DataValue,2.6,0.001,0.0038542999999999,0.112525,112.525
DataValue,2.58,0.001,0.0038471,0.11252,112.52
DataValue,2.56,0.001,0.0038395,0.112525,112.525
DataValue,2.54,0.001,0.0038325,0.11252,112.52
DataValue,2.52,0.001,0.0038262,0.112525,112.525
DataValue,2.5,0.001,0.0038195,0.112525,112.525
DataValue,2.48,0.001,0.0038134,0.11252,112.52
DataValue,2.46,0.001,0.0038081,0.112515,112.51500000000001
DataValue,2.44,0.001,0.0038026,0.11252,112.52
DataValue,2.42,0.001,0.0037975,0.11252,112.52
DataValue,2.4,0.001,0.0037927,0.112515,112.51500000000001
DataValue,2.38,0.001,0.0037879999999999,0.112515,112.51500000000001
DataValue,2.36,0.001,0.0037839,0.11252,112.52
DataValue,2.34,0.001,0.0037797,0.11252,112.52
DataValue,2.32,0.001,0.0037762,0.112515,112.51500000000001
DataValue,2.3,0.001,0.0037725,0.11251,112.51
DataValue,2.28,0.001,0.003769,0.11252,112.52
DataValue,2.26,0.001,0.0037663,0.112505,112.505
DataValue,2.24,0.001,0.0037629,0.11252,112.52
DataValue,2.22,0.001,0.0037602,0.11252,112.52
DataValue,2.2,0.001,0.0037573,0.112515,112.51500000000001
DataValue,2.18,0.001,0.0037551,0.11252,112.52
DataValue,2.16,0.001,0.0037525,0.11251,112.51
DataValue,2.14,0.001,0.0037501,0.11251,112.51
DataValue,2.12,0.001,0.0037483,0.11251,112.51
DataValue,2.1,0.001,0.0037464,0.112525,112.525
DataValue,2.08,0.001,0.0037443,0.112515,112.51500000000001
DataValue,2.06,0.001,0.0037424,0.11251,112.51
DataValue,2.04,0.001,0.003741,0.112525,112.525
DataValue,2.02,0.001,0.0037395,0.11251,112.51
DataValue,2.0,0.001,0.0037381,0.11252,112.52
