DataName, VC, IT, IC, VT, RPT100
DataValue,0.0,0.001,-2.6349999999999994e-07,0.1111699999999999,111.17
DataValue,0.02,0.001,0.00011113,0.1111699999999999,111.17
DataValue,0.04,0.001,0.00031543,0.111165,111.165
DataValue,0.06,0.001,0.00064176,0.111175,111.175
DataValue,0.08,0.001,0.00109662,0.111175,111.175
DataValue,0.1,0.001,0.0016449,0.111185,111.185
DataValue,0.12,0.001,0.0022045,0.1112,111.20000000000002
DataValue,0.1399999999999999,0.001,0.0027054,0.1112,111.20000000000002
DataValue,0.16,0.001,0.0030988,0.111215,111.215
DataValue,0.18,0.001,0.0033651,0.111215,111.215
DataValue,0.2,0.001,0.0035308,0.111215,111.215
DataValue,0.22,0.001,0.0036262,0.111225,111.225
DataValue,0.24,0.001,0.0036806,0.11122,111.22
DataValue,0.26,0.001,0.0037124,0.11123,111.23
DataValue,0.2799999999999999,0.001,0.0037326,0.111215,111.215
DataValue,0.3,0.001,0.0037456,0.11122,111.22
DataValue,0.32,0.001,0.0037554,0.111225,111.225
DataValue,0.34,0.001,0.0037625,0.11122,111.22
DataValue,0.36,0.001,0.0037682,0.111225,111.225
DataValue,0.38,0.001,0.0037731,0.111215,111.215
DataValue,0.4,0.001,0.0037772,0.11123,111.23
DataValue,0.42,0.001,0.0037808,0.111225,111.225
DataValue,0.44,0.001,0.0037843,0.111225,111.225
DataValue,0.4599999999999999,0.001,0.0037875,0.111225,111.225
DataValue,0.48,0.001,0.0037898999999999,0.11122,111.22
DataValue,0.5,0.001,0.0037923,0.111225,111.225
DataValue,0.52,0.001,0.0037944,0.111225,111.225
DataValue,0.54,0.001,0.0037965,0.11122,111.22
DataValue,0.5599999999999999,0.001,0.0037984,0.111225,111.225
DataValue,0.58,0.001,0.0038005,0.11123,111.23
DataValue,0.6,0.001,0.0038022999999999,0.111225,111.225
DataValue,0.6200000000000001,0.001,0.0038036,0.11122,111.22
DataValue,0.6400000000000001,0.001,0.0038049,0.111225,111.225
DataValue,0.66,0.001,0.003806,0.11122,111.22
DataValue,0.68,0.001,0.0038078,0.11122,111.22
DataValue,0.7,0.001,0.0038091,0.111225,111.225
DataValue,0.72,0.001,0.0038102,0.11123,111.23
DataValue,0.7400000000000001,0.001,0.0038112,0.11122,111.22
DataValue,0.76,0.001,0.0038124,0.11122,111.22
DataValue,0.78,0.001,0.0038132,0.11123,111.23
DataValue,0.8,0.001,0.003814,0.11122,111.22
DataValue,0.82,0.001,0.003815,0.11122,111.22
DataValue,0.84,0.001,0.003816,0.11123,111.23
DataValue,0.86,0.001,0.0038168,0.111225,111.225
DataValue,0.8800000000000001,0.001,0.0038176,0.111215,111.215
DataValue,0.9,0.001,0.003818,0.111225,111.225
DataValue,0.92,0.001,0.003819,0.11123,111.23
DataValue,0.94,0.001,0.0038192,0.111215,111.215
DataValue,0.96,0.001,0.0038198,0.111225,111.225
DataValue,0.98,0.001,0.0038204,0.111225,111.225
DataValue,1.0,0.001,0.0038211,0.11123,111.23
DataValue,1.02,0.001,0.0038215,0.11122,111.22
DataValue,1.04,0.001,0.0038220999999999,0.11123,111.23
DataValue,1.06,0.001,0.0038227,0.11124,111.24
DataValue,1.08,0.001,0.0038229,0.111225,111.225
DataValue,1.1,0.001,0.0038231,0.11123,111.23
DataValue,1.12,0.001,0.0038234,0.111225,111.225
