DataName, VB, IT, IB, IC, VT, beta, Rpt100
DataValue,0.48,0.001,1.14489e-08,2e-12,0.1124335,0.0001746892714583,112.4335
DataValue,0.482125,0.001,1.22272e-08,0.0,0.112426,0.0,112.426
DataValue,0.48425,0.001,1.30941e-08,-2e-12,0.1124335,-0.0001527405472693,112.4335
DataValue,0.486375,0.001,1.3965e-08,1e-12,0.1124275,7.16075904045829e-05,112.4275
DataValue,0.4885,0.001,1.49731e-08,2e-12,0.112431,0.0001335728740207,112.431
DataValue,0.490625,0.001,1.59645e-08,-1e-12,0.112429,-6.263898023740171e-05,112.429
DataValue,0.49275,0.001,1.71491e-08,2e-12,0.1124295,0.0001166241960219,112.4295
DataValue,0.494875,0.001,1.83461e-08,-1e-12,0.112427,-5.4507497506282e-05,112.427
DataValue,0.497,0.001,1.96654e-08,0.0,0.112431,0.0,112.431
DataValue,0.499125,0.001,2.10159e-08,1e-12,0.1124335,4.7583020474973715e-05,112.4335
DataValue,0.5012,0.001,2.2609200000000002e-08,-4e-12,0.112427,-0.0001769191302655,112.427
DataValue,0.5034,0.001,2.41737e-08,0.0,0.112435,0.0,112.435
DataValue,0.5055,0.001,2.59355e-08,3e-12,0.112424,0.0001156715698559,112.424
DataValue,0.5075999999999999,0.001,2.7781e-08,1e-12,0.1124275,3.59958244843598e-05,112.4275
DataValue,0.5098,0.001,2.98323e-08,-1e-12,0.112427,-3.35207141252937e-05,112.427
DataValue,0.5119,0.001,3.20054e-08,-3e-12,0.11243,-9.373418235672733e-05,112.43
DataValue,0.514,0.001,3.42961e-08,0.0,0.1124295,0.0,112.4295
DataValue,0.5161,0.001,3.6848e-08,2e-12,0.112432,5.42770299609205e-05,112.432
DataValue,0.5182000000000001,0.001,3.96009e-08,0.0,0.112429,0.0,112.429
DataValue,0.5204,0.001,4.25418e-08,-3e-12,0.112426,-7.051887790361481e-05,112.426
DataValue,0.5225,0.001,4.56663e-08,-5e-12,0.112431,-0.0001094899302111,112.431
DataValue,0.5246,0.001,4.90325e-08,-1e-12,0.112426,-2.03946362106766e-05,112.426
DataValue,0.5268,0.001,5.30012e-08,-1e-12,0.1124285,-1.8867497339682902e-05,112.4285
DataValue,0.5289,0.001,5.69055e-08,-5e-12,0.112427,-8.78649691154633e-05,112.427
DataValue,0.531,0.001,6.12144e-08,-3e-12,0.112428,-4.900807653101231e-05,112.428
DataValue,0.5331,0.001,6.57848e-08,-5e-12,0.112427,-7.6005399423575e-05,112.427
DataValue,0.5352,0.001,7.09406e-08,0.0,0.1124295,0.0,112.4295
DataValue,0.5374,0.001,7.6356e-08,-4e-12,0.112425,-5.23861910000524e-05,112.425
DataValue,0.5395,0.001,8.214359999999999e-08,-4e-12,0.112428,-4.8695211799823706e-05,112.428
DataValue,0.5416,0.001,8.83968e-08,1e-12,0.112427,1.13126267014191e-05,112.427
DataValue,0.5437,0.001,9.53879e-08,1e-12,0.1124204999999999,1.04835099630037e-05,112.4205
DataValue,0.5458999999999999,0.001,1.0268e-07,-2e-12,0.11243,-1.9477989871445303e-05,112.43
DataValue,0.548,0.001,1.1066210000000001e-07,-1e-12,0.112422,-9.03651747075105e-06,112.422
DataValue,0.5501,0.001,1.19129e-07,0.0,0.112427,0.0,112.427
