DataName, VC, IT, IC, VT, RPT100
DataValue,2.2,0.001,0.00386458,0.112159,112.159
DataValue,2.22,0.001,0.00386732,0.112165,112.165
DataValue,2.24,0.001,0.00387084,0.112162,112.162
DataValue,2.26,0.001,0.00387434,0.112158,112.158
DataValue,2.28,0.001,0.00387734,0.112158,112.158
DataValue,2.3,0.001,0.00388088,0.112155,112.155
DataValue,2.32,0.001,0.0038842,0.112162,112.162
DataValue,2.34,0.001,0.00388816,0.112157,112.157
DataValue,2.36,0.001,0.0038932,0.11216,112.16
DataValue,2.38,0.001,0.00389686,0.112154,112.154
DataValue,2.4,0.001,0.00390132,0.112159,112.159
DataValue,2.42,0.001,0.00390632,0.112154,112.154
DataValue,2.44,0.001,0.00391148,0.11216,112.16
DataValue,2.46,0.001,0.00391668,0.11216,112.16
DataValue,2.48,0.001,0.0039227,0.112164,112.164
DataValue,2.5,0.001,0.0039289,0.1121559999999999,112.156
DataValue,2.52,0.001,0.00393488,0.112154,112.154
DataValue,2.54,0.001,0.00394194,0.112157,112.157
DataValue,2.56,0.001,0.00394828,0.112159,112.159
DataValue,2.58,0.001,0.0039558,0.112158,112.158
DataValue,2.6,0.001,0.00396412,0.1121559999999999,112.156
DataValue,2.62,0.001,0.00397226,0.112154,112.154
DataValue,2.64,0.001,0.00398094,0.112155,112.155
DataValue,2.66,0.001,0.00398988,0.112161,112.161
DataValue,2.68,0.001,0.00399942,0.112162,112.162
DataValue,2.7,0.001,0.00400898,0.11216,112.16
DataValue,2.72,0.001,0.0040192199999999,0.1121559999999999,112.156
DataValue,2.74,0.001,0.00403012,0.112158,112.158
DataValue,2.76,0.001,0.0040408799999999,0.11216,112.16
DataValue,2.78,0.001,0.00405326,0.112163,112.163
DataValue,2.8,0.001,0.00406618,0.112162,112.162
DataValue,2.82,0.001,0.00407946,0.112161,112.161
DataValue,2.84,0.001,0.0040929799999999,0.112158,112.158
DataValue,2.86,0.001,0.00410726,0.112157,112.157
DataValue,2.88,0.001,0.00412228,0.112166,112.166
DataValue,2.9,0.001,0.0041378,0.11216,112.16
DataValue,2.92,0.001,0.00415378,0.112164,112.164
DataValue,2.94,0.001,0.00417074,0.112163,112.163
DataValue,2.96,0.001,0.0041883,0.112155,112.155
DataValue,2.98,0.001,0.00420638,0.11216,112.16
DataValue,3.0,0.001,0.00422638,0.11216,112.16
DataValue,3.0,0.001,0.0042259,0.112162,112.162
DataValue,2.98,0.001,0.0042061799999999,0.112161,112.161
DataValue,2.96,0.001,0.00418754,0.11216,112.16
DataValue,2.94,0.001,0.00416986,0.112166,112.166
DataValue,2.92,0.001,0.00415226,0.112163,112.163
DataValue,2.9,0.001,0.0041359399999999,0.11216,112.16
DataValue,2.88,0.001,0.00411944,0.112155,112.155
DataValue,2.86,0.001,0.00410422,0.112159,112.159
DataValue,2.84,0.001,0.00408978,0.11216,112.16
DataValue,2.82,0.001,0.00407556,0.112164,112.164
DataValue,2.8,0.001,0.00406238,0.1121559999999999,112.156
DataValue,2.78,0.001,0.0040494599999999,0.112155,112.155
DataValue,2.76,0.001,0.00403762,0.112155,112.155
DataValue,2.74,0.001,0.0040259,0.112155,112.155
DataValue,2.72,0.001,0.00401498,0.112158,112.158
DataValue,2.7,0.001,0.00400428,0.112158,112.158
DataValue,2.68,0.001,0.00399428,0.112161,112.161
DataValue,2.66,0.001,0.0039851,0.112155,112.155
DataValue,2.64,0.001,0.00397538,0.112155,112.155
