VCE ,leafValue( DP3_IC2 "Ibpol" 2e-06 "mcparamset" 1 ) (A),leafValue( DP3_IC2 "Ibpol" 2e-06 "mcparamset" 2 ) (A),leafValue( DP3_IC2 "Ibpol" 2e-06 "mcparamset" 3 ) (A),leafValue( DP3_IC2 "Ibpol" 2e-06 "mcparamset" 4 ) (A),leafValue( DP3_IC2 "Ibpol" 2e-06 "mcparamset" 5 ) (A),leafValue( DP3_IC2 "Ibpol" 4e-06 "mcparamset" 1 ) (A),leafValue( DP3_IC2 "Ibpol" 4e-06 "mcparamset" 2 ) (A),leafValue( DP3_IC2 "Ibpol" 4e-06 "mcparamset" 3 ) (A),leafValue( DP3_IC2 "Ibpol" 4e-06 "mcparamset" 4 ) (A),leafValue( DP3_IC2 "Ibpol" 4e-06 "mcparamset" 5 ) (A),leafValue( DP3_IC2 "Ibpol" 6e-06 "mcparamset" 1 ) (A),leafValue( DP3_IC2 "Ibpol" 6e-06 "mcparamset" 2 ) (A),leafValue( DP3_IC2 "Ibpol" 6e-06 "mcparamset" 3 ) (A),leafValue( DP3_IC2 "Ibpol" 6e-06 "mcparamset" 4 ) (A),leafValue( DP3_IC2 "Ibpol" 6e-06 "mcparamset" 5 ) (A),leafValue( DP3_IC2 "Ibpol" 8e-06 "mcparamset" 1 ) (A),leafValue( DP3_IC2 "Ibpol" 8e-06 "mcparamset" 2 ) (A),leafValue( DP3_IC2 "Ibpol" 8e-06 "mcparamset" 3 ) (A),leafValue( DP3_IC2 "Ibpol" 8e-06 "mcparamset" 4 ) (A),leafValue( DP3_IC2 "Ibpol" 8e-06 "mcparamset" 5 ) (A),leafValue( DP3_IC2 "Ibpol" 1e-05 "mcparamset" 1 ) (A),leafValue( DP3_IC2 "Ibpol" 1e-05 "mcparamset" 2 ) (A),leafValue( DP3_IC2 "Ibpol" 1e-05 "mcparamset" 3 ) (A),leafValue( DP3_IC2 "Ibpol" 1e-05 "mcparamset" 4 ) (A),leafValue( DP3_IC2 "Ibpol" 1e-05 "mcparamset" 5 ) (A),leafValue( DP3_IC2 "Ibpol" 1.2e-05 "mcparamset" 1 ) (A),leafValue( DP3_IC2 "Ibpol" 1.2e-05 "mcparamset" 2 ) (A),leafValue( DP3_IC2 "Ibpol" 1.2e-05 "mcparamset" 3 ) (A),leafValue( DP3_IC2 "Ibpol" 1.2e-05 "mcparamset" 4 ) (A),leafValue( DP3_IC2 "Ibpol" 1.2e-05 "mcparamset" 5 ) (A)
0.0000000,-1.6655080E-6,-1.7877122E-6,-1.8841392E-6,-1.9307740E-6,-1.8112787E-6,-3.3270025E-6,-3.5711215E-6,-3.7635376E-6,-3.8561640E-6,-3.6185263E-6,-4.9661750E-6,-5.3272589E-6,-5.6114599E-6,-5.7478162E-6,-5.3980610E-6,-6.5813143E-6,-7.0540778E-6,-7.4256390E-6,-7.6034174E-6,-7.1477860E-6,-8.1727162E-6,-8.7520243E-6,-9.2066896E-6,-9.4236994E-6,-8.8681670E-6,-9.7412298E-6,-10.422220E-6,-10.955994E-6,-11.210195E-6,-10.560362E-6
10.000000E-3,7.0028926E-6,8.1223790E-6,9.0217333E-6,9.4397029E-6,8.3170283E-6,13.782052E-6,15.950785E-6,17.688583E-6,18.493488E-6,16.330421E-6,20.368535E-6,23.528055E-6,26.053843E-6,27.219986E-6,24.084906E-6,26.783997E-6,30.883290E-6,34.153307E-6,35.658495E-6,31.610782E-6,33.044640E-6,38.038366E-6,42.013966E-6,43.838690E-6,38.930812E-6,39.163473E-6,45.010868E-6,49.657532E-6,51.784441E-6,46.063277E-6
20.000000E-3,19.047947E-6,21.895759E-6,24.134283E-6,25.225188E-6,22.450305E-6,37.459507E-6,42.956454E-6,47.266606E-6,49.357229E-6,44.035996E-6,55.296846E-6,63.271538E-6,69.510442E-6,72.523339E-6,64.851313E-6,72.620040E-6,82.922736E-6,90.966394E-6,94.834918E-6,84.981774E-6,89.476905E-6,101.97505E-6,111.71444E-6,116.38044E-6,104.49528E-6,105.90691E-6,120.48203E-6,131.82035E-6,137.23257E-6,123.44768E-6
30.000000E-3,35.638275E-6,40.872585E-6,44.872213E-6,46.941498E-6,42.030765E-6,69.894846E-6,79.931573E-6,87.583931E-6,91.516172E-6,82.172850E-6,102.90240E-6,117.37036E-6,128.37938E-6,134.00113E-6,120.63202E-6,134.79587E-6,153.37428E-6,167.48557E-6,174.64990E-6,157.60374E-6,165.68436E-6,188.09257E-6,205.08500E-6,213.66576E-6,193.24501E-6,195.65835E-6,221.64854E-6,241.32804E-6,251.21574E-6,227.68527E-6
40.000000E-3,58.212524E-6,66.706198E-6,72.950410E-6,76.445404E-6,68.886468E-6,113.71631E-6,129.85391E-6,141.70024E-6,148.26372E-6,134.03131E-6,166.79560E-6,189.85893E-6,206.76686E-6,216.04881E-6,195.88344E-6,217.73096E-6,247.11019E-6,268.62247E-6,280.33344E-6,254.85835E-6,266.74987E-6,301.92093E-6,327.64640E-6,341.54366E-6,311.28938E-6,314.04076E-6,354.54879E-6,384.14963E-6,400.02728E-6,365.44983E-6
50.000000E-3,88.430052E-6,101.31093E-6,110.29420E-6,115.86486E-6,105.22126E-6,171.85001E-6,196.03126E-6,212.89841E-6,223.19711E-6,203.41330E-6,250.85351E-6,285.03228E-6,308.87504E-6,323.23365E-6,295.53793E-6,325.99931E-6,369.09587E-6,399.16096E-6,417.04495E-6,382.44676E-6,397.73920E-6,448.84769E-6,484.50374E-6,505.47897E-6,464.81723E-6,466.44514E-6,524.79742E-6,565.51017E-6,589.21936E-6,543.19834E-6
60.000000E-3,128.02161E-6,146.69859E-6,158.82845E-6,167.40217E-6,153.50274E-6,247.19620E-6,281.73646E-6,304.24617E-6,319.78367E-6,294.32231E-6,358.71177E-6,406.86788E-6,438.34010E-6,459.61930E-6,424.45837E-6,463.63913E-6,523.60562E-6,562.89092E-6,588.97489E-6,545.60407E-6,562.83887E-6,633.14683E-6,679.30458E-6,709.46310E-6,659.08622E-6,657.01270E-6,736.45281E-6,788.70597E-6,822.36101E-6,765.96120E-6
70.000000E-3,178.50610E-6,204.66588E-6,220.11485E-6,232.97402E-6,216.19455E-6,342.09975E-6,389.62016E-6,417.95206E-6,440.69939E-6,410.39495E-6,493.02504E-6,558.20994E-6,597.37761E-6,627.87051E-6,586.58747E-6,633.24235E-6,713.23214E-6,761.61135E-6,798.29065E-6,748.01562E-6,764.31552E-6,856.86919E-6,913.16398E-6,954.87458E-6,897.16859E-6,887.50394E-6,990.84160E-6,1.0540089E-3,1.0998788E-3,1.0359810E-3
80.000000E-3,240.77951E-6,276.33889E-6,294.86961E-6,313.70669E-6,295.30618E-6,457.68432E-6,520.98711E-6,554.64492E-6,587.06001E-6,554.11614E-6,654.65283E-6,739.90760E-6,785.97720E-6,828.38312E-6,783.94823E-6,835.07475E-6,937.98965E-6,994.35013E-6,1.0442897E-3,990.72296E-6,1.0016372E-3,1.1189925E-3,1.1839898E-3,1.2397481E-3,1.1788684E-3,1.1564748E-3,1.2858178E-3,1.3581536E-3,1.4185066E-3,1.3517256E-3
90.000000E-3,314.65897E-6,361.66481E-6,382.48456E-6,409.39817E-6,391.80955E-6,593.23999E-6,675.15052E-6,712.82271E-6,757.79577E-6,726.01018E-6,842.05906E-6,950.22993E-6,1.0014808E-3,1.0587956E-3,1.0158374E-3,1.0665899E-3,1.1949055E-3,1.2571767E-3,1.3231681E-3,1.2714779E-3,1.2711658E-3,1.4152562E-3,1.4865809E-3,1.5588584E-3,1.5003371E-3,1.4591859E-3,1.6158745E-3,1.6947394E-3,1.7717028E-3,1.7078191E-3
