VCE ,leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 5 ) (A)
0.0000000,-1.6719770E-6,-1.7825394E-6,-1.8815922E-6,-1.9227722E-6,-1.8143550E-6,-3.3399736E-6,-3.5607949E-6,-3.7584559E-6,-3.8402533E-6,-3.6246905E-6,-4.9854145E-6,-5.3119969E-6,-5.6039658E-6,-5.7243926E-6,-5.4071799E-6,-6.6065642E-6,-7.0341128E-6,-7.4158608E-6,-7.5728879E-6,-7.1597139E-6,-8.2037223E-6,-8.7275817E-6,-9.1947501E-6,-9.3864507E-6,-8.8827612E-6,-9.7777494E-6,-10.393513E-6,-10.942008E-6,-11.166588E-6,-10.577487E-6
10.000000E-3,7.0640111E-6,8.0747049E-6,8.9967732E-6,9.3653642E-6,8.3482100E-6,13.900787E-6,15.858535E-6,17.640429E-6,18.350352E-6,16.390807E-6,20.541974E-6,23.393811E-6,25.983954E-6,27.012636E-6,24.172858E-6,27.009594E-6,30.709305E-6,34.062944E-6,35.390889E-6,31.724867E-6,33.320122E-6,37.826640E-6,41.904238E-6,43.514309E-6,39.069757E-6,39.486789E-6,44.763202E-6,49.529428E-6,51.406377E-6,46.225939E-6
20.000000E-3,19.199246E-6,21.775275E-6,24.075948E-6,25.039672E-6,22.521539E-6,37.752624E-6,42.724286E-6,47.154368E-6,49.001580E-6,44.173587E-6,55.723557E-6,62.935264E-6,69.348092E-6,72.010636E-6,65.051044E-6,73.173118E-6,82.488964E-6,90.757227E-6,94.176443E-6,85.239938E-6,90.149915E-6,101.44962E-6,111.46135E-6,115.58605E-6,104.80858E-6,106.69407E-6,119.87016E-6,131.52590E-6,136.31095E-6,123.81317E-6
30.000000E-3,35.906739E-6,40.652971E-6,44.776976E-6,46.608919E-6,42.142695E-6,70.412222E-6,79.511464E-6,87.401456E-6,90.883323E-6,82.388238E-6,103.65170E-6,116.76612E-6,128.11656E-6,133.09532E-6,120.94346E-6,135.76229E-6,152.59998E-6,167.14839E-6,173.49438E-6,158.00471E-6,166.85481E-6,187.16050E-6,204.67869E-6,212.28058E-6,193.72975E-6,197.02120E-6,220.56954E-6,240.85721E-6,249.61836E-6,228.24862E-6
40.000000E-3,58.627476E-6,66.353777E-6,72.821417E-6,75.923750E-6,69.026633E-6,114.51043E-6,129.18644E-6,141.45384E-6,147.28094E-6,134.30081E-6,167.93812E-6,188.90778E-6,206.41316E-6,214.65517E-6,196.27253E-6,219.19534E-6,245.90184E-6,268.17031E-6,278.57095E-6,255.35830E-6,268.51299E-6,300.47803E-6,327.10349E-6,339.44785E-6,311.89239E-6,316.08228E-6,352.89092E-6,383.52276E-6,397.62850E-6,366.14886E-6
50.000000E-3,89.018176E-6,100.78429E-6,110.14876E-6,115.10940E-6,105.34975E-6,172.96619E-6,195.04659E-6,212.61931E-6,221.79145E-6,203.66503E-6,252.44677E-6,283.64555E-6,308.47343E-6,321.26312E-6,295.90639E-6,328.02633E-6,367.35312E-6,398.64702E-6,414.57912E-6,382.92500E-6,400.16279E-6,446.78728E-6,483.88663E-6,502.57525E-6,465.39833E-6,469.23315E-6,522.45171E-6,564.79805E-6,585.92560E-6,543.87564E-6
60.000000E-3,128.79786E-6,145.94945E-6,158.70923E-6,166.37244E-6,153.52907E-6,248.65634E-6,280.35774E-6,304.00753E-6,317.89540E-6,294.40110E-6,360.77836E-6,404.95385E-6,437.98646E-6,457.00744E-6,424.60339E-6,466.24728E-6,521.23124E-6,562.42873E-6,585.74627E-6,545.82158E-6,565.93380E-6,630.37259E-6,678.74099E-6,705.70325E-6,659.37811E-6,660.54787E-6,733.32817E-6,788.04811E-6,818.13919E-6,766.32677E-6
70.000000E-3,179.46028E-6,203.64158E-6,220.10391E-6,231.64475E-6,215.94491E-6,343.88096E-6,387.76958E-6,417.88761E-6,438.29976E-6,410.01903E-6,495.52673E-6,555.68318E-6,597.23902E-6,624.59916E-6,586.15913E-6,636.37600E-6,710.14392E-6,761.39029E-6,794.29982E-6,747.57866E-6,768.00744E-6,853.30856E-6,912.85873E-6,950.28208E-6,896.74878E-6,891.69247E-6,986.87878E-6,1.0536211E-3,1.0947770E-3,1.0355932E-3
80.000000E-3,241.86064E-6,274.98671E-6,295.10185E-6,312.08099E-6,294.48497E-6,459.69734E-6,518.59339E-6,554.96311E-6,584.16870E-6,552.83609E-6,657.46860E-6,736.69833E-6,786.30139E-6,824.49716E-6,782.42035E-6,838.58491E-6,934.13001E-6,994.63836E-6,1.0396104E-3,989.06983E-6,1.0057518E-3,1.1146052E-3,1.1842211E-3,1.2344259E-3,1.1771617E-3,1.1611191E-3,1.2809958E-3,1.3583185E-3,1.4126554E-3,1.3500072E-3
90.000000E-3,315.76265E-6,359.93731E-6,383.15436E-6,407.51905E-6,389.96569E-6,595.31587E-6,672.15554E-6,713.80930E-6,754.49111E-6,723.18670E-6,844.97705E-6,946.28954E-6,1.0025905E-3,1.0544068E-3,1.0125090E-3,1.0702339E-3,1.1902443E-3,1.2583073E-3,1.3179428E-3,1.2679028E-3,1.2754367E-3,1.4100335E-3,1.4876798E-3,1.5529761E-3,1.4966566E-3,1.4640008E-3,1.6102056E-3,1.6957806E-3,1.7652949E-3,1.7041111E-3
