VCE ,leafValue( DP3_IC2 "Ibpol" 2e-06 "mcparamset" 1 ) (A),leafValue( DP3_IC2 "Ibpol" 2e-06 "mcparamset" 2 ) (A),leafValue( DP3_IC2 "Ibpol" 2e-06 "mcparamset" 3 ) (A),leafValue( DP3_IC2 "Ibpol" 2e-06 "mcparamset" 4 ) (A),leafValue( DP3_IC2 "Ibpol" 2e-06 "mcparamset" 5 ) (A),leafValue( DP3_IC2 "Ibpol" 4e-06 "mcparamset" 1 ) (A),leafValue( DP3_IC2 "Ibpol" 4e-06 "mcparamset" 2 ) (A),leafValue( DP3_IC2 "Ibpol" 4e-06 "mcparamset" 3 ) (A),leafValue( DP3_IC2 "Ibpol" 4e-06 "mcparamset" 4 ) (A),leafValue( DP3_IC2 "Ibpol" 4e-06 "mcparamset" 5 ) (A),leafValue( DP3_IC2 "Ibpol" 6e-06 "mcparamset" 1 ) (A),leafValue( DP3_IC2 "Ibpol" 6e-06 "mcparamset" 2 ) (A),leafValue( DP3_IC2 "Ibpol" 6e-06 "mcparamset" 3 ) (A),leafValue( DP3_IC2 "Ibpol" 6e-06 "mcparamset" 4 ) (A),leafValue( DP3_IC2 "Ibpol" 6e-06 "mcparamset" 5 ) (A),leafValue( DP3_IC2 "Ibpol" 8e-06 "mcparamset" 1 ) (A),leafValue( DP3_IC2 "Ibpol" 8e-06 "mcparamset" 2 ) (A),leafValue( DP3_IC2 "Ibpol" 8e-06 "mcparamset" 3 ) (A),leafValue( DP3_IC2 "Ibpol" 8e-06 "mcparamset" 4 ) (A),leafValue( DP3_IC2 "Ibpol" 8e-06 "mcparamset" 5 ) (A),leafValue( DP3_IC2 "Ibpol" 1e-05 "mcparamset" 1 ) (A),leafValue( DP3_IC2 "Ibpol" 1e-05 "mcparamset" 2 ) (A),leafValue( DP3_IC2 "Ibpol" 1e-05 "mcparamset" 3 ) (A),leafValue( DP3_IC2 "Ibpol" 1e-05 "mcparamset" 4 ) (A),leafValue( DP3_IC2 "Ibpol" 1e-05 "mcparamset" 5 ) (A),leafValue( DP3_IC2 "Ibpol" 1.2e-05 "mcparamset" 1 ) (A),leafValue( DP3_IC2 "Ibpol" 1.2e-05 "mcparamset" 2 ) (A),leafValue( DP3_IC2 "Ibpol" 1.2e-05 "mcparamset" 3 ) (A),leafValue( DP3_IC2 "Ibpol" 1.2e-05 "mcparamset" 4 ) (A),leafValue( DP3_IC2 "Ibpol" 1.2e-05 "mcparamset" 5 ) (A)
0.0000000,-1.7540955E-6,-1.9173488E-6,-2.0486684E-6,-2.1094644E-6,-1.9457339E-6,-3.4992317E-6,-3.8227551E-6,-4.0824957E-6,-4.2022515E-6,-3.8794542E-6,-5.2166426E-6,-5.6932308E-6,-6.0751201E-6,-6.2506094E-6,-5.7775561E-6,-6.9052785E-6,-7.5277502E-6,-8.0256319E-6,-8.2537504E-6,-7.6390170E-6,-8.5660136E-6,-9.3276073E-6,-9.9357476E-6,-10.213632E-6,-9.4651872E-6,-10.200169E-6,-11.094604E-6,-11.807727E-6,-12.132759E-6,-11.257932E-6
10.000000E-3,9.1114421E-6,10.500378E-6,11.620298E-6,12.135799E-6,10.737258E-6,17.844434E-6,20.518084E-6,22.668121E-6,23.653880E-6,20.977857E-6,26.289883E-6,30.166941E-6,33.277088E-6,34.697883E-6,30.839405E-6,34.488527E-6,39.499629E-6,43.510518E-6,45.336615E-6,40.376442E-6,42.468107E-6,48.552531E-6,53.412534E-6,55.618193E-6,49.626633E-6,50.249759E-6,57.353536E-6,63.017079E-6,65.579675E-6,58.618834E-6
20.000000E-3,24.726548E-6,28.349182E-6,31.211170E-6,32.588851E-6,29.039014E-6,48.394472E-6,55.341705E-6,60.816547E-6,63.437610E-6,56.678969E-6,71.215682E-6,81.246714E-6,89.133687E-6,92.890850E-6,83.199340E-6,93.301734E-6,106.21055E-6,116.33901E-6,121.14184E-6,108.75221E-6,114.73262E-6,130.33933E-6,142.56129E-6,148.33197E-6,133.44778E-6,135.57096E-6,153.71640E-6,167.90187E-6,174.57252E-6,157.37250E-6
30.000000E-3,46.952267E-6,53.760772E-6,58.989845E-6,61.663018E-6,55.241180E-6,91.633905E-6,104.59794E-6,114.53397E-6,119.57337E-6,107.45188E-6,134.46697E-6,153.05673E-6,167.27689E-6,174.43809E-6,157.20254E-6,175.69415E-6,199.46005E-6,217.60749E-6,226.68720E-6,204.83094E-6,215.49439E-6,244.04797E-6,265.81629E-6,276.64221E-6,250.58785E-6,254.00960E-6,287.01110E-6,312.13411E-6,324.55830E-6,294.67200E-6
40.000000E-3,78.154353E-6,89.449660E-6,97.783803E-6,102.40887E-6,92.328628E-6,151.87459E-6,173.16249E-6,188.85224E-6,197.45636E-6,178.65583E-6,221.95856E-6,252.19050E-6,274.44694E-6,286.52437E-6,260.09618E-6,288.89825E-6,327.19874E-6,355.36505E-6,370.50502E-6,337.35357E-6,353.06432E-6,398.69034E-6,432.21163E-6,450.07457E-6,410.95924E-6,414.75318E-6,467.06675E-6,505.46920E-6,525.77065E-6,481.33602E-6
50.000000E-3,121.12937E-6,138.63524E-6,150.84207E-6,158.40468E-6,143.99117E-6,234.01875E-6,266.55703E-6,289.26789E-6,303.08264E-6,276.61018E-6,340.14745E-6,385.76281E-6,417.61888E-6,436.69004E-6,400.01805E-6,440.48499E-6,497.58541E-6,537.47751E-6,561.02503E-6,515.65330E-6,535.77415E-6,603.04432E-6,650.05673E-6,677.45912E-6,624.61174E-6,626.61093E-6,702.95150E-6,756.32093E-6,787.07594E-6,727.76242E-6
60.000000E-3,178.82087E-6,204.72968E-6,221.42974E-6,233.37807E-6,214.41160E-6,342.92703E-6,390.22908E-6,420.87516E-6,442.18512E-6,407.97434E-6,495.01872E-6,560.24150E-6,602.66286E-6,631.45248E-6,584.87477E-6,636.96351E-6,717.37829E-6,769.84679E-6,804.71444E-6,748.01604E-6,770.20855E-6,863.64336E-6,924.77405E-6,964.65854E-6,899.60778E-6,895.91151E-6,1.0006165E-3,1.0692900E-3,1.1133746E-3,1.0413778E-3
70.000000E-3,253.74198E-6,290.69857E-6,312.08903E-6,330.46858E-6,307.70913E-6,482.33041E-6,548.33720E-6,587.04107E-6,618.86043E-6,578.54162E-6,690.55110E-6,779.74345E-6,832.57073E-6,874.43156E-6,820.51575E-6,881.88097E-6,989.85967E-6,1.0543387E-3,1.1038724E-3,1.0393516E-3,1.0590306E-3,1.1824600E-3,1.2566767E-3,1.3122053E-3,1.2393440E-3,1.2241468E-3,1.3604630E-3,1.4429247E-3,1.5032349E-3,1.4237639E-3
80.000000E-3,347.12477E-6,398.11693E-6,423.65251E-6,451.18557E-6,426.98069E-6,653.47012E-6,742.27140E-6,787.96082E-6,834.00804E-6,791.57209E-6,927.07488E-6,1.0443047E-3,1.1058870E-3,1.1646344E-3,1.1086400E-3,1.1740839E-3,1.3130948E-3,1.3873401E-3,1.4550525E-3,1.3889753E-3,1.3993012E-3,1.5553444E-3,1.6398352E-3,1.7140752E-3,1.6404682E-3,1.6064727E-3,1.7761000E-3,1.8690187E-3,1.9481535E-3,1.8689023E-3
90.000000E-3,458.02332E-6,526.17016E-6,554.33465E-6,594.36683E-6,573.09658E-6,853.97347E-6,969.48802E-6,1.0197383E-3,1.0842559E-3,1.0462208E-3,1.2002866E-3,1.3489843E-3,1.4162108E-3,1.4958407E-3,1.4454017E-3,1.5070927E-3,1.6795542E-3,1.7598959E-3,1.8491580E-3,1.7897642E-3,1.7823447E-3,1.9722926E-3,2.0629322E-3,2.1585819E-3,2.0927898E-3,2.0321325E-3,2.2352976E-3,2.3341824E-3,2.4342348E-3,2.3639124E-3
100.00000E-3,582.79191E-6,671.05716E-6,699.37945E-6,755.63924E-6,743.69323E-6,1.0775858E-3,1.2233210E-3,1.2745738E-3,1.3620332E-3,1.3368891E-3,1.5015786E-3,1.6844519E-3,1.7532221E-3,1.8576298E-3,1.8216733E-3,1.8701430E-3,2.0775536E-3,2.1595838E-3,2.2734187E-3,2.2294921E-3,2.1955008E-3,2.4196762E-3,2.5118757E-3,2.6311581E-3,2.5816258E-3,2.4868576E-3,2.7228866E-3,2.8230462E-3,2.9455936E-3,2.8922495E-3
110.00000E-3,715.32880E-6,826.21123E-6,851.58817E-6,927.77572E-6,932.91566E-6,1.3150313E-3,1.4940000E-3,1.5420828E-3,1.6568825E-3,1.6540126E-3,1.8196522E-3,2.0388884E-3,2.1047947E-3,2.2376233E-3,2.2250485E-3,2.2504792E-3,2.4938669E-3,2.5732168E-3,2.7142845E-3,2.6938080E-3,2.6249507E-3,2.8833431E-3,2.9728595E-3,3.1176122E-3,3.0914292E-3,2.9560745E-3,3.2241482E-3,3.3214906E-3,3.4677555E-3,3.4376983E-3
120.00000E-3,848.13470E-6,983.38304E-6,1.0026182E-3,1.1019111E-3,1.1321762E-3,1.5556572E-3,1.7704216E-3,1.8111363E-3,1.9573868E-3,1.9859687E-3,2.1426371E-3,2.4002620E-3,2.4591666E-3,2.6238302E-3,2.6425755E-3,2.6357754E-3,2.9162321E-3,2.9891023E-3,3.1598514E-3,3.1693167E-3,3.0582630E-3,3.3511325E-3,3.4345268E-3,3.6064133E-3,3.6088704E-3,3.4274384E-3,3.7271985E-3,3.8186074E-3,3.9896869E-3,3.9872625E-3
130.00000E-3,973.80894E-6,1.1341911E-3,1.1445628E-3,1.2691499E-3,1.3316614E-3,1.7891539E-3,2.0418830E-3,2.0714588E-3,2.2528595E-3,2.3211602E-3,2.4597986E-3,2.7580073E-3,2.8063364E-3,3.0061616E-3,3.0629262E-3,3.0157187E-3,3.3348173E-3,3.3981475E-3,3.6010428E-3,3.6454716E-3,3.4857676E-3,3.8140375E-3,3.8887421E-3,4.0894838E-3,4.1243079E-3,3.8919529E-3,4.2238233E-3,4.3071398E-3,4.5042153E-3,4.5321922E-3
140.00000E-3,1.0864234E-3,1.2715803E-3,1.2712687E-3,1.4220074E-3,1.5219849E-3,2.0068080E-3,2.2992304E-3,2.3145825E-3,2.5343158E-3,2.6494416E-3,2.7623902E-3,3.1037257E-3,3.1385007E-3,3.3768876E-3,3.4773659E-3,3.3824999E-3,3.7425203E-3,3.7938887E-3,4.0316286E-3,4.1150200E-3,3.9007232E-3,4.2661489E-3,4.3302861E-3,4.5618564E-3,4.6317599E-3,4.3438485E-3,4.7091209E-3,4.7829072E-3,5.0073980E-3,5.0675695E-3
150.00000E-3,1.1823513E-3,1.3907842E-3,1.3790658E-3,1.5553388E-3,1.6954820E-3,2.2021609E-3,2.5353585E-3,2.5342172E-3,2.7947698E-3,2.9626619E-3,3.0437675E-3,3.4311038E-3,3.4498383E-3,3.7303541E-3,3.8796817E-3,3.7305234E-3,4.1345127E-3,4.1719170E-3,4.4475988E-3,4.5734873E-3,4.2987489E-3,4.7039443E-3,4.7560591E-3,5.0208241E-3,5.1280738E-3,4.7798094E-3,5.1806059E-3,5.2438540E-3,5.4975203E-3,5.5912595E-3
