VCE ,leafValue( DP2_IC2 "Ibpol" 2e-06 "mcparamset" 1 ) (A),leafValue( DP2_IC2 "Ibpol" 2e-06 "mcparamset" 2 ) (A),leafValue( DP2_IC2 "Ibpol" 2e-06 "mcparamset" 3 ) (A),leafValue( DP2_IC2 "Ibpol" 2e-06 "mcparamset" 4 ) (A),leafValue( DP2_IC2 "Ibpol" 2e-06 "mcparamset" 5 ) (A),leafValue( DP2_IC2 "Ibpol" 4e-06 "mcparamset" 1 ) (A),leafValue( DP2_IC2 "Ibpol" 4e-06 "mcparamset" 2 ) (A),leafValue( DP2_IC2 "Ibpol" 4e-06 "mcparamset" 3 ) (A),leafValue( DP2_IC2 "Ibpol" 4e-06 "mcparamset" 4 ) (A),leafValue( DP2_IC2 "Ibpol" 4e-06 "mcparamset" 5 ) (A),leafValue( DP2_IC2 "Ibpol" 6e-06 "mcparamset" 1 ) (A),leafValue( DP2_IC2 "Ibpol" 6e-06 "mcparamset" 2 ) (A),leafValue( DP2_IC2 "Ibpol" 6e-06 "mcparamset" 3 ) (A),leafValue( DP2_IC2 "Ibpol" 6e-06 "mcparamset" 4 ) (A),leafValue( DP2_IC2 "Ibpol" 6e-06 "mcparamset" 5 ) (A),leafValue( DP2_IC2 "Ibpol" 8e-06 "mcparamset" 1 ) (A),leafValue( DP2_IC2 "Ibpol" 8e-06 "mcparamset" 2 ) (A),leafValue( DP2_IC2 "Ibpol" 8e-06 "mcparamset" 3 ) (A),leafValue( DP2_IC2 "Ibpol" 8e-06 "mcparamset" 4 ) (A),leafValue( DP2_IC2 "Ibpol" 8e-06 "mcparamset" 5 ) (A),leafValue( DP2_IC2 "Ibpol" 1e-05 "mcparamset" 1 ) (A),leafValue( DP2_IC2 "Ibpol" 1e-05 "mcparamset" 2 ) (A),leafValue( DP2_IC2 "Ibpol" 1e-05 "mcparamset" 3 ) (A),leafValue( DP2_IC2 "Ibpol" 1e-05 "mcparamset" 4 ) (A),leafValue( DP2_IC2 "Ibpol" 1e-05 "mcparamset" 5 ) (A),leafValue( DP2_IC2 "Ibpol" 1.2e-05 "mcparamset" 1 ) (A),leafValue( DP2_IC2 "Ibpol" 1.2e-05 "mcparamset" 2 ) (A),leafValue( DP2_IC2 "Ibpol" 1.2e-05 "mcparamset" 3 ) (A),leafValue( DP2_IC2 "Ibpol" 1.2e-05 "mcparamset" 4 ) (A),leafValue( DP2_IC2 "Ibpol" 1.2e-05 "mcparamset" 5 ) (A)
0.0000000,-1.6679960E-6,-1.7804802E-6,-1.8868027E-6,-1.9308024E-6,-1.8071309E-6,-3.3247147E-6,-3.5482694E-6,-3.7603645E-6,-3.8448344E-6,-3.6017207E-6,-4.9520283E-6,-5.2810997E-6,-5.5942916E-6,-5.7144302E-6,-5.3606239E-6,-6.5486146E-6,-6.9774651E-6,-7.3868775E-6,-7.5380876E-6,-7.0822793E-6,-8.1151451E-6,-8.6382814E-6,-9.1392617E-6,-9.3172737E-6,-8.7676351E-6,-9.6528148E-6,-10.265086E-6,-10.853300E-6,-11.054176E-6,-10.418281E-6
10.000000E-3,7.0398255E-6,8.0657914E-6,9.0586516E-6,9.4516671E-6,8.2947461E-6,13.811327E-6,15.788873E-6,17.704089E-6,18.440372E-6,16.233217E-6,20.350065E-6,23.217181E-6,25.996603E-6,27.034402E-6,23.865842E-6,26.681328E-6,30.384080E-6,33.977555E-6,35.280780E-6,31.227584E-6,32.824380E-6,37.315062E-6,41.678560E-6,43.215576E-6,38.345136E-6,38.794877E-6,44.030821E-6,49.125245E-6,50.868046E-6,45.240147E-6
20.000000E-3,19.111028E-6,21.726433E-6,24.189303E-6,25.216449E-6,22.349615E-6,37.424000E-6,42.437032E-6,47.169852E-6,49.063630E-6,43.642151E-6,55.020123E-6,62.244942E-6,69.084314E-6,71.710425E-6,63.997297E-6,71.975092E-6,81.251082E-6,90.056624E-6,93.301230E-6,83.521100E-6,88.349774E-6,99.536320E-6,110.18579E-6,113.95119E-6,102.29839E-6,104.19472E-6,117.16752E-6,129.55340E-6,133.75491E-6,120.39919E-6
30.000000E-3,35.685202E-6,40.504584E-6,44.885883E-6,46.837179E-6,41.744290E-6,69.588931E-6,78.742642E-6,87.107868E-6,90.628884E-6,81.120958E-6,101.90238E-6,114.98268E-6,126.99816E-6,131.78019E-6,118.41571E-6,132.80727E-6,149.46866E-6,164.85188E-6,170.64209E-6,153.88623E-6,162.45074E-6,182.39663E-6,200.90525E-6,207.49363E-6,187.73907E-6,190.95474E-6,213.92785E-6,235.35178E-6,242.56185E-6,220.14376E-6
40.000000E-3,58.146265E-6,65.993168E-6,72.794191E-6,76.096305E-6,68.206555E-6,112.73741E-6,127.45922E-6,140.33983E-6,146.13775E-6,131.65286E-6,164.21335E-6,185.01734E-6,203.38310E-6,211.05643E-6,191.00413E-6,212.97423E-6,239.20780E-6,262.56507E-6,271.62890E-6,246.83593E-6,259.34107E-6,290.45897E-6,318.39227E-6,328.46095E-6,299.60299E-6,303.57672E-6,339.11776E-6,371.27335E-6,382.03565E-6,349.67235E-6
50.000000E-3,88.061500E-6,100.01549E-6,109.72759E-6,115.00427E-6,103.77096E-6,169.48997E-6,191.56613E-6,209.79495E-6,218.75749E-6,198.55490E-6,245.25276E-6,276.01791E-6,301.79936E-6,313.30053E-6,285.84130E-6,316.18116E-6,354.49883E-6,387.04918E-6,400.24379E-6,366.84718E-6,382.92979E-6,427.88257E-6,466.55578E-6,480.80731E-6,442.50981E-6,446.02438E-6,496.86023E-6,541.11714E-6,555.93720E-6,513.56700E-6
60.000000E-3,127.02565E-6,144.46221E-6,157.45297E-6,165.60217E-6,150.64341E-6,242.33348E-6,273.91627E-6,298.08934E-6,311.40968E-6,285.14420E-6,347.92827E-6,391.21104E-6,425.13027E-6,441.63468E-6,406.67432E-6,445.44078E-6,498.57008E-6,541.08940E-6,559.41460E-6,517.67329E-6,536.12372E-6,597.66373E-6,647.85698E-6,667.04156E-6,619.95694E-6,620.95894E-6,689.77551E-6,746.88469E-6,766.23454E-6,714.91000E-6
70.000000E-3,176.38876E-6,200.99911E-6,217.34813E-6,229.62842E-6,210.92783E-6,333.15204E-6,376.72605E-6,406.97004E-6,426.21708E-6,394.21975E-6,474.15758E-6,532.73418E-6,574.91355E-6,597.87889E-6,556.23031E-6,602.40519E-6,673.13646E-6,725.70015E-6,750.33050E-6,701.56461E-6,720.13697E-6,800.91830E-6,862.63064E-6,887.58504E-6,833.51700E-6,829.06356E-6,918.30088E-6,988.16698E-6,1.0125449E-3,954.51015E-6
80.000000E-3,236.88843E-6,270.66403E-6,289.97581E-6,308.08345E-6,286.21499E-6,442.70232E-6,501.00895E-6,536.75975E-6,563.94011E-6,527.44575E-6,624.30829E-6,701.04728E-6,750.80804E-6,782.02165E-6,735.54593E-6,786.84458E-6,877.87586E-6,939.69584E-6,972.03343E-6,918.64840E-6,934.05350E-6,1.0364727E-3,1.1088025E-3,1.1405246E-3,1.0823322E-3,1.0687155E-3,1.1804219E-3,1.2620267E-3,1.2920621E-3,1.2305461E-3
90.000000E-3,308.27193E-6,353.44128E-6,374.69198E-6,400.79919E-6,377.10390E-6,570.19692E-6,646.13148E-6,685.99796E-6,723.59503E-6,684.81797E-6,796.87958E-6,894.62356E-6,950.41159E-6,992.03408E-6,943.55997E-6,996.48121E-6,1.1103099E-3,1.1797267E-3,1.2214626E-3,1.1667235E-3,1.1748295E-3,1.3009454E-3,1.3821420E-3,1.4218771E-3,1.3631320E-3,1.3361542E-3,1.4719446E-3,1.5634489E-3,1.6000138E-3,1.5388002E-3
