Vcc ,IB_NPN10,IC_NPN10,IB_NPN16,IC_NPN16,IB_NPN32,IC_NPN32
870.000E-3,376.079E-6,19.5546E-3,601.726E-6,31.2873E-3,1.20345E-3,62.5747E-3
885.000E-3,749.514E-6,22.4547E-3,1.19922E-3,35.9275E-3,2.39845E-3,71.8550E-3
900.000E-3,1.40225E-3,25.7004E-3,2.24361E-3,41.1206E-3,4.48721E-3,82.2412E-3
915.000E-3,2.49564E-3,29.1719E-3,3.99302E-3,46.6750E-3,7.98605E-3,93.3500E-3
930.000E-3,4.25172E-3,32.6640E-3,6.80275E-3,52.2623E-3,13.6055E-3,104.525E-3
945.000E-3,6.93572E-3,35.9340E-3,11.0972E-3,57.4944E-3,22.1943E-3,114.989E-3
960.000E-3,10.8064E-3,38.7837E-3,17.2903E-3,62.0539E-3,34.5805E-3,124.108E-3
975.000E-3,16.0376E-3,41.1320E-3,25.6601E-3,65.8111E-3,51.3203E-3,131.622E-3
990.000E-3,22.6755E-3,43.0104E-3,36.2807E-3,68.8167E-3,72.5615E-3,137.633E-3
1.00500,30.6462E-3,44.5136E-3,49.0340E-3,71.2218E-3,98.0680E-3,142.444E-3
1.02000,39.8043E-3,45.7453E-3,63.6869E-3,73.1925E-3,127.374E-3,146.385E-3
1.03500,49.9803E-3,46.7916E-3,79.9685E-3,74.8665E-3,159.937E-3,149.733E-3
1.05000,61.0112E-3,47.7155E-3,97.6180E-3,76.3449E-3,195.236E-3,152.690E-3
1.06500,72.7537E-3,48.5609E-3,116.406E-3,77.6974E-3,232.812E-3,155.395E-3
1.08000,85.0870E-3,49.3572E-3,136.139E-3,78.9716E-3,272.278E-3,157.943E-3
1.09500,97.9113E-3,50.1246E-3,156.658E-3,80.1993E-3,313.316E-3,160.399E-3
1.11000,111.145E-3,50.8767E-3,177.832E-3,81.4027E-3,355.663E-3,162.805E-3
1.12500,124.721E-3,51.6229E-3,199.553E-3,82.5966E-3,399.106E-3,165.193E-3
1.14000,138.584E-3,52.3699E-3,221.734E-3,83.7918E-3,443.467E-3,167.584E-3
1.15500,152.688E-3,53.1223E-3,244.301E-3,84.9957E-3,488.602E-3,169.991E-3
1.17000,166.996E-3,53.8836E-3,267.193E-3,86.2138E-3,534.386E-3,172.428E-3
1.18500,181.475E-3,54.6561E-3,290.360E-3,87.4498E-3,580.719E-3,174.900E-3
1.20000,196.098E-3,55.4417E-3,313.757E-3,88.7068E-3,627.514E-3,177.414E-3
1.21500,210.843E-3,56.2417E-3,337.348E-3,89.9868E-3,674.696E-3,179.974E-3
1.23000,225.688E-3,57.0571E-3,361.101E-3,91.2913E-3,722.202E-3,182.583E-3
1.24500,240.617E-3,57.8884E-3,384.988E-3,92.6215E-3,769.976E-3,185.243E-3
1.26000,255.616E-3,58.7363E-3,408.985E-3,93.9780E-3,817.970E-3,187.956E-3
1.27500,270.669E-3,59.6010E-3,433.071E-3,95.3616E-3,866.142E-3,190.723E-3
1.29000,285.767E-3,60.4827E-3,457.227E-3,96.7723E-3,914.455E-3,193.545E-3
1.30500,300.899E-3,61.3815E-3,481.438E-3,98.2104E-3,962.875E-3,196.421E-3
1.32000,316.054E-3,62.2974E-3,505.687E-3,99.6758E-3,1.01137,199.352E-3
1.33500,331.227E-3,63.2302E-3,529.962E-3,101.168E-3,1.05992,202.337E-3
1.35000,346.407E-3,64.1798E-3,554.252E-3,102.688E-3,1.10850,205.375E-3
1.36500,361.591E-3,65.1459E-3,578.545E-3,104.233E-3,1.15709,208.467E-3
1.38000,376.770E-3,66.1282E-3,602.832E-3,105.805E-3,1.20566,211.610E-3
1.39500,391.940E-3,67.1264E-3,627.103E-3,107.402E-3,1.25421,214.804E-3
1.41000,407.095E-3,68.1399E-3,651.352E-3,109.024E-3,1.30270,218.048E-3
1.42500,422.232E-3,69.1682E-3,675.571E-3,110.669E-3,1.35114,221.338E-3
1.44000,437.346E-3,70.2108E-3,699.753E-3,112.337E-3,1.39951,224.674E-3
1.45500,452.433E-3,71.2670E-3,723.893E-3,114.027E-3,1.44779,228.054E-3
1.47000,467.490E-3,72.3361E-3,747.984E-3,115.738E-3,1.49597,231.476E-3
1.48500,482.514E-3,73.4174E-3,772.022E-3,117.468E-3,1.54404,234.936E-3
1.50000,497.501E-3,74.5100E-3,796.002E-3,119.216E-3,1.59200,238.432E-3
