VCE ,leafValue( DP3_IB2 "T" 20 ) (A),leafValue( DP3_IB2 "T" 22 ) (A),leafValue( DP3_IB2 "T" 24 ) (A),leafValue( DP3_IB2 "T" 26 ) (A),leafValue( DP3_IB2 "T" 28 ) (A),leafValue( DP3_IB2 "T" 30 ) (A),leafValue( DP3_IC2 "T" 20 ) (A),leafValue( DP3_IC2 "T" 22 ) (A),leafValue( DP3_IC2 "T" 24 ) (A),leafValue( DP3_IC2 "T" 26 ) (A),leafValue( DP3_IC2 "T" 28 ) (A),leafValue( DP3_IC2 "T" 30 ) (A),leafValue( B2_DP3 "T" 20 ),leafValue( B2_DP3 "T" 22 ),leafValue( B2_DP3 "T" 24 ),leafValue( B2_DP3 "T" 26 ),leafValue( B2_DP3 "T" 28 ),leafValue( B2_DP3 "T" 30 )
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-nan,-nan,-nan,-nan,-nan,-nan
920.000E-3,23.9195E-3,9.86802E-3,10.6085E-3,11.3872E-3,12.2051E-3,13.0626E-3,135.594E-3,117.662E-3,118.992E-3,120.318E-3,121.638E-3,122.953E-3,5.66876,11.9236,11.2167,10.5660,9.96624,9.41264
925.000E-3,27.5320E-3,11.8546E-3,12.7009E-3,13.5878E-3,14.5158E-3,15.4856E-3,140.253E-3,122.209E-3,123.560E-3,124.904E-3,126.242E-3,127.571E-3,5.09416,10.3090,9.72844,9.19241,8.69684,8.23808
930.000E-3,31.5471E-3,14.1685E-3,15.1291E-3,16.1321E-3,17.1780E-3,18.2671E-3,144.816E-3,126.695E-3,128.063E-3,129.423E-3,130.774E-3,132.115E-3,4.59047,8.94206,8.46473,8.02270,7.61286,7.23241
935.000E-3,35.9841E-3,16.8469E-3,17.9294E-3,19.0558E-3,20.2261E-3,21.4405E-3,149.260E-3,131.083E-3,132.466E-3,133.838E-3,135.200E-3,136.550E-3,4.14795,7.78082,7.38816,7.02351,6.68443,6.36879
940.000E-3,40.8596E-3,19.9270E-3,21.1379E-3,22.3933E-3,23.6932E-3,25.0376E-3,153.565E-3,135.336E-3,136.732E-3,138.116E-3,139.488E-3,140.846E-3,3.75835,6.79160,6.46859,6.16775,5.88724,5.62538
945.000E-3,46.1863E-3,23.4445E-3,24.7884E-3,26.1771E-3,27.6102E-3,29.0874E-3,157.712E-3,139.425E-3,140.833E-3,142.228E-3,143.609E-3,144.975E-3,3.41470,5.94702,5.68139,5.43329,5.20130,4.98413
950.000E-3,51.9733E-3,27.4321E-3,28.9121E-3,30.4363E-3,32.0042E-3,33.6154E-3,161.691E-3,143.322E-3,144.743E-3,146.149E-3,147.541E-3,148.917E-3,3.11103,5.22461,5.00630,4.80181,4.61004,4.43002
955.000E-3,58.2256E-3,31.9185E-3,33.5356E-3,35.1957E-3,36.8981E-3,38.6423E-3,165.491E-3,147.009E-3,148.444E-3,149.864E-3,151.267E-3,152.655E-3,2.84223,4.60575,4.42645,4.25801,4.09960,3.95045
960.000E-3,64.9445E-3,36.9273E-3,38.6803E-3,40.4746E-3,42.3093E-3,44.1838E-3,169.108E-3,150.472E-3,151.924E-3,153.359E-3,154.778E-3,156.179E-3,2.60388,4.07483,3.92768,3.78903,3.65825,3.53476
965.000E-3,72.1274E-3,42.4758E-3,44.3617E-3,46.2865E-3,48.2494E-3,50.2496E-3,172.540E-3,153.708E-3,155.178E-3,156.632E-3,158.068E-3,159.486E-3,2.39216,3.61871,3.49803,3.38397,3.27607,3.17388
970.000E-3,79.7685E-3,48.5750E-3,50.5888E-3,52.6388E-3,54.7242E-3,56.8442E-3,175.791E-3,156.715E-3,158.208E-3,159.683E-3,161.140E-3,162.578E-3,2.20376,3.22625,3.12734,3.03357,2.94458,2.86006
975.000E-3,87.8591E-3,55.2294E-3,57.3645E-3,59.5328E-3,61.7336E-3,63.9661E-3,178.863E-3,159.502E-3,161.019E-3,162.518E-3,163.999E-3,165.459E-3,2.03579,2.88798,2.80695,2.72990,2.65655,2.58667
980.000E-3,96.3880E-3,62.4371E-3,64.6857E-3,66.9645E-3,69.2726E-3,71.6093E-3,181.764E-3,162.077E-3,163.622E-3,165.148E-3,166.654E-3,168.140E-3,1.88575,2.59584,2.52949,2.46620,2.40577,2.34803
985.000E-3,105.342E-3,70.1908E-3,72.5442E-3,74.9245E-3,77.3311E-3,79.7632E-3,184.501E-3,164.455E-3,166.029E-3,167.584E-3,169.119E-3,170.633E-3,1.75145,2.34297,2.28866,2.23670,2.18694,2.13924
990.000E-3,114.706E-3,78.4782E-3,80.9271E-3,83.3998E-3,85.8956E-3,88.4139E-3,187.084E-3,166.650E-3,168.255E-3,169.841E-3,171.406E-3,172.950E-3,1.63099,2.12352,2.07910,2.03646,1.99551,1.95614
995.000E-3,124.464E-3,87.2835E-3,89.8183E-3,92.3737E-3,94.9493E-3,97.5445E-3,189.523E-3,168.679E-3,170.317E-3,171.934E-3,173.531E-3,175.106E-3,1.52271,1.93254,1.89624,1.86129,1.82761,1.79514
1.00000,134.600E-3,96.5877E-3,99.1986E-3,101.827E-3,104.473E-3,107.136E-3,191.827E-3,170.559E-3,172.229E-3,173.879E-3,175.508E-3,177.115E-3,1.42516,1.76584,1.73620,1.70759,1.67993,1.65318
1.00500,145.097E-3,106.370E-3,109.047E-3,111.740E-3,114.447E-3,117.169E-3,194.006E-3,172.304E-3,174.007E-3,175.690E-3,177.352E-3,178.991E-3,1.33708,1.61986,1.59570,1.57231,1.54964,1.52764
1.01000,155.938E-3,116.607E-3,119.342E-3,122.090E-3,124.849E-3,127.621E-3,196.071E-3,173.930E-3,175.667E-3,177.382E-3,179.076E-3,180.748E-3,1.25737,1.49159,1.47195,1.45288,1.43434,1.41629
1.01500,167.106E-3,127.278E-3,130.061E-3,132.855E-3,135.659E-3,138.472E-3,198.031E-3,175.452E-3,177.220E-3,178.968E-3,180.695E-3,182.399E-3,1.18506,1.37850,1.36259,1.34709,1.33198,1.31723
1.02000,178.584E-3,138.357E-3,141.181E-3,144.013E-3,146.853E-3,149.700E-3,199.894E-3,176.880E-3,178.680E-3,180.460E-3,182.218E-3,183.954E-3,1.11933,1.27843,1.26561,1.25308,1.24082,1.22882
1.02500,190.356E-3,149.824E-3,152.680E-3,155.543E-3,158.411E-3,161.286E-3,201.669E-3,178.228E-3,180.059E-3,181.869E-3,183.659E-3,185.426E-3,1.05943,1.18958,1.17932,1.16926,1.15938,1.14967
1.03000,202.408E-3,161.655E-3,164.536E-3,167.422E-3,170.313E-3,173.207E-3,203.365E-3,179.505E-3,181.365E-3,183.206E-3,185.025E-3,186.822E-3,1.00473,1.11042,1.10228,1.09427,1.08638,1.07860
1.03500,214.723E-3,173.828E-3,176.729E-3,179.632E-3,182.537E-3,185.446E-3,204.987E-3,180.719E-3,182.609E-3,184.478E-3,186.326E-3,188.153E-3,954.660E-3,1.03964,1.03327,1.02698,1.02076,1.01459
1.04000,227.288E-3,186.324E-3,189.237E-3,192.151E-3,195.067E-3,197.984E-3,206.544E-3,181.880E-3,183.797E-3,185.694E-3,187.570E-3,189.425E-3,908.733E-3,976.148E-3,971.253E-3,966.396E-3,961.571E-3,956.768E-3
1.04500,240.089E-3,199.123E-3,202.043E-3,204.962E-3,207.882E-3,210.803E-3,208.041E-3,182.994E-3,184.937E-3,186.861E-3,188.764E-3,190.645E-3,866.514E-3,919.000E-3,915.338E-3,911.685E-3,908.034E-3,904.379E-3
1.05000,253.114E-3,212.207E-3,215.128E-3,218.048E-3,220.967E-3,223.886E-3,209.483E-3,184.068E-3,186.036E-3,187.985E-3,189.914E-3,191.821E-3,827.624E-3,867.399E-3,864.771E-3,862.129E-3,859.467E-3,856.780E-3
1.05500,266.350E-3,225.557E-3,228.475E-3,231.391E-3,234.305E-3,237.218E-3,210.877E-3,185.106E-3,187.098E-3,189.072E-3,191.025E-3,192.957E-3,791.728E-3,820.662E-3,818.901E-3,817.110E-3,815.282E-3,813.415E-3
1.06000,279.786E-3,239.158E-3,242.068E-3,244.976E-3,247.881E-3,250.785E-3,212.226E-3,186.114E-3,188.129E-3,190.125E-3,192.102E-3,194.058E-3,758.529E-3,778.204E-3,777.172E-3,776.098E-3,774.976E-3,773.803E-3
1.06500,293.411E-3,252.995E-3,255.894E-3,258.789E-3,261.682E-3,264.572E-3,213.535E-3,187.096E-3,189.132E-3,191.151E-3,193.150E-3,195.128E-3,727.766E-3,739.523E-3,739.105E-3,738.635E-3,738.110E-3,737.525E-3
1.07000,307.215E-3,267.053E-3,269.936E-3,272.816E-3,275.693E-3,278.566E-3,214.807E-3,188.055E-3,190.112E-3,192.151E-3,194.171E-3,196.172E-3,699.209E-3,704.185E-3,704.283E-3,704.324E-3,704.305E-3,704.220E-3
1.07500,321.188E-3,281.319E-3,284.184E-3,287.045E-3,289.902E-3,292.756E-3,216.047E-3,188.994E-3,191.071E-3,193.130E-3,195.171E-3,197.192E-3,672.650E-3,671.815E-3,672.350E-3,672.822E-3,673.231E-3,673.571E-3
